,genre,acousticness
0,modern rock,0.09835026
1,tropical house,0.1218956
2,pop rap,0.150306816327
3,pop,0.1758476
4,post-teen pop,0.2084922
5,rap,0.14520918
6,rock,0.113103332
7,dance pop,0.1547644
8,trap music,0.1337901
9,edm,0.1341292
10,alternative rock,0.0521287387755
11,latin,0.1731368
12,pop rock,0.24491124
13,dwn trap,0.1459084375
14,alternative metal,0.022730336
15,neo mellow,0.3834132
16,r&b,0.1924912
17,southern hip hop,0.1606557
18,hip hop,0.14099428
19,classic rock,0.183441632
20,mellow gold,0.21592988
21,indie rock,0.13141604
22,album rock,0.19656002
23,viral pop,0.3368672
24,reggaeton,0.2035708
25,soft rock,0.21453254
26,post-grunge,0.025863536
27,indie r&b,0.4437952
28,latin pop,0.2121496
29,indie pop,0.17391748
30,pop punk,0.038683852
31,indietronica,0.12433524
32,permanent wave,0.0771762625
33,electro house,0.08587976
34,tropical,0.2301188
35,urban contemporary,0.294365
36,indie folk,0.4816054
37,folk-pop,0.4774748
38,singer-songwriter,0.41431146
39,nu metal,0.013905774
40,hard rock,0.093270404
41,hip pop,0.250107404255
42,contemporary country,0.15574418
43,indie poptimism,0.222808085106
44,big room,0.116841021277
45,rap metal,0.022375214
46,gangster rap,0.1182484
47,canadian pop,0.2215594
48,country road,0.15126378
49,country,0.17690194
50,folk rock,0.30481486
51,garage rock,0.0818645183673
52,house,0.12754142
53,grupera,0.455979591837
54,latin hip hop,0.218234680851
55,stomp and holler,0.40073244898
56,underground hip hop,0.16472812
57,chamber pop,0.6159626
58,dirty south rap,0.11445122449
59,rock en espanol,0.2784994
60,regional mexican,0.561186
61,progressive house,0.133813466
62,roots rock,0.2609303
63,blues-rock,0.140264018
64,funk rock,0.09906636
65,alternative dance,0.108178676
66,modern country rock,0.1351821
67,dance rock,0.1905736
68,trap latino,0.279012045455
69,europop,0.126728
70,new wave,0.1582195
71,neo soul,0.3740424
72,synthpop,0.170591388
73,new wave pop,0.17862856
74,adult standards,0.5703
75,banda,0.48386
76,latin alternative,0.2995876
77,neo-psychedelic,0.128927408
78,soul,0.3431458
79,classic funk rock,0.20855844
80,quiet storm,0.2700282
81,emo,0.022428262
82,psychedelic rock,0.29836246
83,norteno,0.44678
84,spanish pop,0.259386
85,deep pop r&b,0.301690826087
86,progressive electro house,0.083390322
87,deep indie r&b,0.52507496
88,rap rock,0.017792818
89,art rock,0.256824744
90,new rave,0.066637688
91,latin arena pop,0.3439694
92,escape room,0.2091844
93,motown,0.3269038
94,regional mexican pop,0.534438
95,screamo,0.02369578
96,shimmer pop,0.10113928
97,electronic,0.14093442
98,brostep,0.09008994
99,metal,0.0540911172
100,new romantic,0.1657986
101,teen pop,0.18548
102,disco,0.258444
103,deep big room,0.120928489796
104,indie anthem-folk,0.5871526
105,pop reggaeton,0.1946726
106,reggaeton flow,0.2624626
107,crunk,0.1260454
108,funk,0.25212986
109,vapor soul,0.3823306
110,trap francais,0.250604782609
111,acoustic pop,0.4473738
112,metropopolis,0.22025208
113,deep tropical house,0.14970112
114,west coast rap,0.1324901
115,deep german hip hop,0.168020653061
116,metalcore,0.007369572
117,punk,0.033401138
118,deep funk carioca,0.31400112
119,electronic trap,0.11189358
120,focus,0.9664
121,new americana,0.5610764
122,east coast hip hop,0.18048602
123,folk,0.469516
124,francoton,0.195496086957
125,sertanejo universitario,0.35097
126,hardcore hip hop,0.1454005
127,southern rock,0.18427672
128,brill building pop,0.479352
129,german hip hop,0.207101742857
130,christian alternative rock,0.12799556
131,jazz blues,0.70652
132,worship,0.14356452
133,groove metal,0.0027429816
134,ranchera,0.382494
135,boy band,0.1596262
136,piano rock,0.204279428571
137,talent show,0.2022674
138,freak folk,0.421043262
139,swedish pop,0.17418508
140,chillwave,0.112751058
141,british blues,0.24338228
142,modern blues,0.4057158
143,vocal jazz,0.7891
144,argentine rock,0.20583362
145,g funk,0.122458367347
146,christian music,0.13431764
147,redneck,0.10733622
148,vegas indie,0.0696512244898
149,new jack swing,0.190324979592
150,swedish idol pop,0.213716469388
151,bass trap,0.14399756
152,compositional ambient,0.88798
153,mpb,0.5992718
154,country rock,0.2650604
155,dance-punk,0.108202064
156,memphis soul,0.4396076
157,ccm,0.15144592
158,deep underground hip hop,0.25200984
159,soundtrack,0.77423
160,cumbia pop,0.1768414
161,noise pop,0.165978959184
162,rock-and-roll,0.50848226
163,soul blues,0.4448988
164,k-pop,0.118767918367
165,indie psych-rock,0.1674448
166,protopunk,0.26164788
167,moombahton,0.05814164
168,lo-fi,0.29354984
169,dream pop,0.329433285714
170,anthem worship,0.14728058
171,german pop,0.326057128
172,electric blues,0.3340646
173,outlaw country,0.29082918
174,melodic metalcore,0.005178858
175,detroit hip hop,0.183992
176,hollywood,0.531312158
177,deep dutch hip hop,0.168081717391
178,christian rock,0.1463435
179,southern soul,0.4464416
180,deep groove house,0.03665436
181,korean pop,0.20019206
182,chicago soul,0.423323265306
183,indiecoustica,0.393180408163
184,deep german pop rock,0.219057128
185,cantautor,0.408278
186,glam metal,0.06681614
187,pagode,0.56976
188,britpop,0.092176368
189,italian arena pop,0.2601996
190,traditional country,0.33429
191,glam rock,0.2555523
192,alternative hip hop,0.1619064
193,funk metal,0.0416019582
194,mariachi,0.437792
195,deep australian indie,0.34865048
196,classify,0.95336
197,underground pop rap,0.15238274
198,scorecore,0.623590127083
199,italian pop,0.3567336
200,samba,0.577296
201,tracestep,0.15676446
202,complextro,0.06234974
203,deep pop edm,0.1651062
204,downtempo,0.310824897959
205,trip hop,0.2786164
206,grime,0.2196802
207,british invasion,0.26840006
208,speed metal,0.0113170132
209,channel pop,0.656956
210,classical,0.975133333333
211,catstep,0.09996286
212,lilith,0.410666610204
213,bachata,0.389494
214,bossa nova,0.8241
215,deep house,0.0818015
216,skate punk,0.024817602
217,melancholia,0.68768
