,genre,danceability
0,modern rock,0.57738
1,tropical house,0.66658
2,pop rap,0.752244897959
3,pop,0.67534
4,post-teen pop,0.66224
5,rap,0.76126
6,rock,0.49812
7,dance pop,0.66028
8,trap music,0.7861
9,edm,0.66358
10,alternative rock,0.513408163265
11,latin,0.72052
12,pop rock,0.5872
13,dwn trap,0.792125
14,alternative metal,0.5149
15,neo mellow,0.56554
16,r&b,0.66478
17,southern hip hop,0.75654
18,hip hop,0.74284
19,classic rock,0.52204
20,mellow gold,0.57614
21,indie rock,0.5522
22,album rock,0.53294
23,viral pop,0.62128
24,reggaeton,0.73462
25,soft rock,0.57012
26,post-grunge,0.51352
27,indie r&b,0.60606
28,latin pop,0.73072
29,indie pop,0.57624
30,pop punk,0.547
31,indietronica,0.63692
32,permanent wave,0.504770833333
33,electro house,0.66286
34,tropical,0.7375
35,urban contemporary,0.65596
36,indie folk,0.52366
37,folk-pop,0.54414
38,singer-songwriter,0.5951
39,nu metal,0.51912
40,hard rock,0.4589
41,hip pop,0.667872340426
42,contemporary country,0.58834
43,indie poptimism,0.635276595745
44,big room,0.641553191489
45,rap metal,0.54896
46,gangster rap,0.76094
47,canadian pop,0.65724
48,country road,0.58742
49,country,0.58628
50,folk rock,0.58884
51,garage rock,0.533265306122
52,house,0.70762
53,grupera,0.707387755102
54,latin hip hop,0.736340425532
55,stomp and holler,0.524795918367
56,underground hip hop,0.80384
57,chamber pop,0.51142
58,dirty south rap,0.738857142857
59,rock en espanol,0.67116
60,regional mexican,0.71838
61,progressive house,0.6425
62,roots rock,0.57044
63,blues-rock,0.53066
64,funk rock,0.57054
65,alternative dance,0.6264
66,modern country rock,0.5602
67,dance rock,0.6419
68,trap latino,0.741795454545
69,europop,0.6809
70,new wave,0.62186
71,neo soul,0.64696
72,synthpop,0.63182
73,new wave pop,0.62058
74,adult standards,0.49982
75,banda,0.70418
76,latin alternative,0.64588
77,neo-psychedelic,0.55396
78,soul,0.59218
79,classic funk rock,0.59606
80,quiet storm,0.6592
81,emo,0.52648
82,psychedelic rock,0.4961
83,norteno,0.71908
84,spanish pop,0.65088
85,deep pop r&b,0.609152173913
86,progressive electro house,0.6395
87,deep indie r&b,0.55222
88,rap rock,0.52034
89,art rock,0.54378
90,new rave,0.60086
91,latin arena pop,0.60962
92,escape room,0.73234
93,motown,0.62376
94,regional mexican pop,0.67922
95,screamo,0.44712
96,shimmer pop,0.55482
97,electronic,0.65008
98,brostep,0.56592
99,metal,0.44538
100,new romantic,0.6319
101,teen pop,0.67018
102,disco,0.69572
103,deep big room,0.652653061224
104,indie anthem-folk,0.49412
105,pop reggaeton,0.7298
106,reggaeton flow,0.75754
107,crunk,0.73202
108,funk,0.6621
109,vapor soul,0.62474
110,trap francais,0.778217391304
111,acoustic pop,0.53438
112,metropopolis,0.60118
113,deep tropical house,0.67786
114,west coast rap,0.71956
115,deep german hip hop,0.699571428571
116,metalcore,0.44674
117,punk,0.47528
118,deep funk carioca,0.7781
119,electronic trap,0.57518
120,focus,0.315248
121,new americana,0.53054
122,east coast hip hop,0.7068
123,folk,0.56598
124,francoton,0.731608695652
125,sertanejo universitario,0.63272
126,hardcore hip hop,0.733958333333
127,southern rock,0.53418
128,brill building pop,0.569
129,german hip hop,0.650469387755
130,christian alternative rock,0.47214
131,jazz blues,0.52914
132,worship,0.42932
133,groove metal,0.46706
134,ranchera,0.6119
135,boy band,0.65118
136,piano rock,0.52593877551
137,talent show,0.61704
138,freak folk,0.52666
139,swedish pop,0.6334
140,chillwave,0.54128
141,british blues,0.52226
142,modern blues,0.55058
143,vocal jazz,0.48082
144,argentine rock,0.60796
145,g funk,0.751469387755
146,christian music,0.4555
147,redneck,0.57236
148,vegas indie,0.523836734694
149,new jack swing,0.701591836735
150,swedish idol pop,0.665224489796
151,bass trap,0.58946
152,compositional ambient,0.313968
153,mpb,0.65362
154,country rock,0.56952
155,dance-punk,0.57986
156,memphis soul,0.64318
157,ccm,0.44778
158,deep underground hip hop,0.68952
159,soundtrack,0.313598
160,cumbia pop,0.71358
161,noise pop,0.519204081633
162,rock-and-roll,0.5572
163,soul blues,0.64056
164,k-pop,0.691897959184
165,indie psych-rock,0.60716
166,protopunk,0.45574
167,moombahton,0.6367
168,lo-fi,0.54444
169,dream pop,0.487565306122
170,anthem worship,0.42094
171,german pop,0.6947
172,electric blues,0.5347
173,outlaw country,0.58972
174,melodic metalcore,0.4542
175,detroit hip hop,0.71466
176,hollywood,0.53338
177,deep dutch hip hop,0.753152173913
178,christian rock,0.47986
179,southern soul,0.64208
180,deep groove house,0.67676
181,korean pop,0.67162
182,chicago soul,0.643673469388
183,indiecoustica,0.51112244898
184,deep german pop rock,0.6733
185,cantautor,0.57334
186,glam metal,0.48988
187,pagode,0.61754
188,britpop,0.48456
189,italian arena pop,0.6357
190,traditional country,0.57862
191,glam rock,0.53708
192,alternative hip hop,0.6976
193,funk metal,0.57818
194,mariachi,0.55644
195,deep australian indie,0.57446
196,classify,0.38198
197,underground pop rap,0.65632
198,scorecore,0.314291666667
199,italian pop,0.58822
200,samba,0.64778
201,tracestep,0.58878
202,complextro,0.58728
203,deep pop edm,0.62486
204,downtempo,0.585591836735
205,trip hop,0.6066
206,grime,0.67682
207,british invasion,0.46578
208,speed metal,0.40306
209,channel pop,0.54734
210,classical,0.351533333333
211,catstep,0.59374
212,lilith,0.536183673469
213,bachata,0.77208
214,bossa nova,0.53274
215,deep house,0.6909
216,skate punk,0.46108
217,melancholia,0.41446
218,vapor twitch,0.60646
219,lift kit,0.565632653061
220,disco house,0.69844
221,symphonic rock,0.48406
222,comic,0.60988
223,pop emo,0.531212765957
224,anti-folk,0.54106
225,grunge,0.417177777778
226,duranguense,0.67978
227,australian dance,0.57172
228,traditional folk,0.5915
229,bubblegum pop,0.58498
230,otacore,0.49718
231,chillhop,0.665795918367
232,hoerspiel,0.648714285714
233,australian alternative rock,0.556
234,reggae fusion,0.73818
235,sertanejo,0.64854
236,la indie,0.62386
237,jazz,0.49218
238,rockabilly,0.58084
239,cumbia,0.68186
240,nueva cancion,0.6387
241,progressive rock,0.46954
