,genre,energy
0,modern rock,0.73686
1,tropical house,0.69322
2,pop rap,0.596183673469
3,pop,0.62882
4,post-teen pop,0.60412
5,rap,0.60098
6,rock,0.73242
7,dance pop,0.62944
8,trap music,0.57796
9,edm,0.72094
10,alternative rock,0.798918367347
11,latin,0.7713
12,pop rock,0.67174
13,dwn trap,0.587229166667
14,alternative metal,0.84278
15,neo mellow,0.57234
16,r&b,0.59218
17,southern hip hop,0.56746
18,hip hop,0.59426
19,classic rock,0.65862
20,mellow gold,0.64318
21,indie rock,0.72048
22,album rock,0.67646
23,viral pop,0.57279
24,reggaeton,0.74638
25,soft rock,0.6593
26,post-grunge,0.85202
27,indie r&b,0.47018
28,latin pop,0.8122
29,indie pop,0.71482
30,pop punk,0.8435
31,indietronica,0.6986
32,permanent wave,0.7505
33,electro house,0.7846
34,tropical,0.77108
35,urban contemporary,0.56978
36,indie folk,0.506036
37,folk-pop,0.51204
38,singer-songwriter,0.53606
39,nu metal,0.8638
40,hard rock,0.7504
41,hip pop,0.620191489362
42,contemporary country,0.70478
43,indie poptimism,0.64470212766
44,big room,0.753170212766
45,rap metal,0.85344
46,gangster rap,0.66048
47,canadian pop,0.57586
48,country road,0.72036
49,country,0.719336
50,folk rock,0.61326
51,garage rock,0.729346938776
52,house,0.76944
53,grupera,0.528673469388
54,latin hip hop,0.751744680851
55,stomp and holler,0.553146938776
56,underground hip hop,0.57286
57,chamber pop,0.439406
58,dirty south rap,0.651346938776
59,rock en espanol,0.67992
60,regional mexican,0.51112
61,progressive house,0.79248
62,roots rock,0.63898
63,blues-rock,0.71022
64,funk rock,0.72916
65,alternative dance,0.75998
66,modern country rock,0.7742
67,dance rock,0.72416
68,trap latino,0.672272727273
69,europop,0.7732
70,new wave,0.74712
71,neo soul,0.526368
72,synthpop,0.71948
73,new wave pop,0.73108
74,adult standards,0.42476
75,banda,0.5473
76,latin alternative,0.62876
77,neo-psychedelic,0.7294
78,soul,0.544
79,classic funk rock,0.66336
80,quiet storm,0.57884
81,emo,0.86566
82,psychedelic rock,0.58638
83,norteno,0.55092
84,spanish pop,0.73928
85,deep pop r&b,0.55702173913
86,progressive electro house,0.82698
87,deep indie r&b,0.45698
88,rap rock,0.86938
89,art rock,0.60852
90,new rave,0.75606
91,latin arena pop,0.65562
92,escape room,0.5927
93,motown,0.60324
94,regional mexican pop,0.55178
95,screamo,0.8791
96,shimmer pop,0.72884
97,electronic,0.66526
98,brostep,0.77706
