,genre,instrumentalness
0,modern rock,0.0179690972
1,tropical house,0.0065356368
2,pop rap,0.00265581428571
3,pop,0.005304745
4,post-teen pop,0.0049433432
5,rap,0.003102754
6,rock,0.0183878092
7,dance pop,0.0023085582
8,trap music,0.0068661584
9,edm,0.0089252408
10,alternative rock,0.0249883961224
11,latin,7.08726e-05
12,pop rock,0.0025181152
13,dwn trap,0.00868558166667
14,alternative metal,0.0029076834
15,neo mellow,0.0047968228
16,r&b,4.80142e-05
17,southern hip hop,0.0067002504
18,hip hop,0.002356909
19,classic rock,0.0283190944
20,mellow gold,0.0092828424
21,indie rock,0.0573551878
22,album rock,0.0130222656
23,viral pop,0.0026824258
24,reggaeton,7.07992e-05
25,soft rock,0.0065739696
26,post-grunge,0.00270173
27,indie r&b,0.0195776776
28,latin pop,4.8574e-06
29,indie pop,0.0311057588
30,pop punk,0.0025347832
31,indietronica,0.0930160344
32,permanent wave,0.0212767014583
33,electro house,0.0072334534
34,tropical,5.30174e-05
35,urban contemporary,0.0021499838
36,indie folk,0.0621568302
37,folk-pop,0.0212076068
38,singer-songwriter,0.0101269628
39,nu metal,0.0107397868
40,hard rock,0.0426710472
41,hip pop,0.00357623319149
42,contemporary country,0.001902595
43,indie poptimism,0.02199656
44,big room,0.0506359434043
45,rap metal,0.0042998626
46,gangster rap,3.82242e-05
47,canadian pop,0.000581712
48,country road,0.0019042382
49,country,0.0028667942
50,folk rock,0.0219947722
51,garage rock,0.0790322232653
52,house,0.0294886066
53,grupera,9.19208163265e-05
54,latin hip hop,5.62195744681e-05
55,stomp and holler,0.061090547551
56,underground hip hop,0.0068440854
57,chamber pop,0.1616083698
58,dirty south rap,0.000839946938776
59,rock en espanol,0.0065365514
60,regional mexican,2.96766e-05
61,progressive house,0.066190223
62,roots rock,0.0391210364
63,blues-rock,0.054398961
64,funk rock,0.0157439262
65,alternative dance,0.1178666026
66,modern country rock,0.0109468614
67,dance rock,0.0247108724
68,trap latino,0.000151617727273
69,europop,0.001784892
70,new wave,0.0348333648
71,neo soul,0.0012841528
72,synthpop,0.1523463308
73,new wave pop,0.0274167782
74,adult standards,0.0048187118
75,banda,3.41504e-05
76,latin alternative,0.0081321474
77,neo-psychedelic,0.103027935
78,soul,0.0013915264
79,classic funk rock,0.0208471908
80,quiet storm,0.0020613562
81,emo,3.72184e-05
82,psychedelic rock,0.0802390204
