,genre,key
0,modern rock,4.7
1,tropical house,5.7
2,pop rap,5.73469387755
3,pop,4.86
4,post-teen pop,5.46
5,rap,5.96
6,rock,5.26
7,dance pop,5.26
8,trap music,6.6
9,edm,5.58
10,alternative rock,5.36734693878
11,latin,5.38
12,pop rock,5.0
13,dwn trap,6.5625
14,alternative metal,5.68
15,neo mellow,5.02
16,r&b,5.54
17,southern hip hop,5.64
18,hip hop,4.42
19,classic rock,5.8
20,mellow gold,4.72
21,indie rock,4.54
22,album rock,5.42
23,viral pop,5.04
24,reggaeton,5.16
25,soft rock,5.08
26,post-grunge,5.66
27,indie r&b,5.26
28,latin pop,5.44
29,indie pop,4.4
30,pop punk,5.62
31,indietronica,5.58
32,permanent wave,5.22916666667
33,electro house,5.74
34,tropical,4.9
35,urban contemporary,4.86
36,indie folk,4.1
37,folk-pop,4.3
38,singer-songwriter,4.92
39,nu metal,5.9
40,hard rock,6.42
41,hip pop,4.91489361702
42,contemporary country,6.36
43,indie poptimism,4.68085106383
44,big room,5.10638297872
45,rap metal,6.06
46,gangster rap,5.18
47,canadian pop,4.74
48,country road,6.04
49,country,6.2
50,folk rock,4.98
51,garage rock,4.0
52,house,5.42
53,grupera,5.40816326531
54,latin hip hop,5.34042553191
55,stomp and holler,3.63265306122
56,underground hip hop,5.12
57,chamber pop,4.44
58,dirty south rap,4.75510204082
59,rock en espanol,5.96
60,regional mexican,5.88
61,progressive house,5.12
62,roots rock,4.64
63,blues-rock,5.26
64,funk rock,6.12
65,alternative dance,4.9
66,modern country rock,6.24
67,dance rock,4.12
68,trap latino,5.06818181818
69,europop,5.72
70,new wave,4.5
71,neo soul,5.48
72,synthpop,4.48
73,new wave pop,4.36
74,adult standards,4.8
75,banda,5.36
76,latin alternative,5.52
77,neo-psychedelic,4.5
78,soul,6.24
79,classic funk rock,6.08
80,quiet storm,6.18
81,emo,6.16
82,psychedelic rock,5.44
83,norteno,5.56
84,spanish pop,5.32
85,deep pop r&b,5.67391304348
86,progressive electro house,5.72
87,deep indie r&b,5.38
88,rap rock,5.22
89,art rock,4.52
90,new rave,5.04
91,latin arena pop,5.04
92,escape room,4.44
93,motown,5.42
94,regional mexican pop,5.86
95,screamo,5.32
96,shimmer pop,5.4
97,electronic,5.76
98,brostep,4.5
99,metal,5.34
100,new romantic,4.36
101,teen pop,4.68
102,disco,5.14
103,deep big room,5.67346938776
104,indie anthem-folk,5.44
105,pop reggaeton,4.66
106,reggaeton flow,5.26
107,crunk,5.44
108,funk,5.76
109,vapor soul,5.6
110,trap francais,4.97826086957
111,acoustic pop,5.34
112,metropopolis,4.84
113,deep tropical house,5.58
114,west coast rap,4.92
115,deep german hip hop,5.12244897959
116,metalcore,5.36
117,punk,4.64
118,deep funk carioca,5.46
119,electronic trap,4.92
120,focus,4.6
121,new americana,4.56
122,east coast hip hop,6.26
123,folk,5.6
124,francoton,4.84782608696
125,sertanejo universitario,5.28
126,hardcore hip hop,6.72916666667
127,southern rock,5.06
128,brill building pop,4.68
129,german hip hop,5.36734693878
130,christian alternative rock,5.22
131,jazz blues,4.5
132,worship,5.56
133,groove metal,4.76
134,ranchera,5.22
135,boy band,4.9
136,piano rock,4.83673469388
137,talent show,5.12
138,freak folk,5.14
139,swedish pop,5.06
140,chillwave,4.74
141,british blues,5.52
142,modern blues,5.58
143,vocal jazz,5.18
144,argentine rock,4.9
145,g funk,5.0612244898
146,christian music,5.12
147,redneck,5.08
148,vegas indie,5.71428571429
149,new jack swing,5.89795918367
150,swedish idol pop,4.63265306122
151,bass trap,4.68
152,compositional ambient,5.18
153,mpb,5.9
154,country rock,5.36
155,dance-punk,5.0
156,memphis soul,5.5
157,ccm,5.18
158,deep underground hip hop,5.66
159,soundtrack,5.32
160,cumbia pop,5.98
161,noise pop,5.28571428571
162,rock-and-roll,4.78
163,soul blues,5.36
164,k-pop,5.22448979592
165,indie psych-rock,4.78
166,protopunk,5.24
167,moombahton,6.14
168,lo-fi,4.9
169,dream pop,5.83673469388
170,anthem worship,5.32
171,german pop,6.22
172,electric blues,5.26
173,outlaw country,5.36
174,melodic metalcore,5.34
175,detroit hip hop,5.54
176,hollywood,5.1
177,deep dutch hip hop,5.58695652174
178,christian rock,5.0
179,southern soul,5.2
180,deep groove house,4.5
181,korean pop,5.04
182,chicago soul,5.81632653061
183,indiecoustica,5.40816326531
