,genre,loudness
0,modern rock,-5.67002
1,tropical house,-5.5613
2,pop rap,-6.62146938776
3,pop,-5.50276
4,post-teen pop,-5.9557
5,rap,-6.5015
6,rock,-6.92166
7,dance pop,-5.5793
8,trap music,-6.67388
9,edm,-5.1222
10,alternative rock,-5.84704081633
11,latin,-4.67768
12,pop rock,-6.14624
13,dwn trap,-6.87816666667
14,alternative metal,-4.89292
15,neo mellow,-6.86652
16,r&b,-6.55084
17,southern hip hop,-7.04142
18,hip hop,-6.95302
19,classic rock,-8.7375
20,mellow gold,-9.38992
21,indie rock,-5.99916
22,album rock,-8.55174
23,viral pop,-6.48996
24,reggaeton,-4.8452
25,soft rock,-9.35876
26,post-grunge,-4.76664
27,indie r&b,-8.19808
28,latin pop,-4.34844
29,indie pop,-6.15502
30,pop punk,-4.68946
31,indietronica,-6.08492
32,permanent wave,-5.71760416667
33,electro house,-4.18896
34,tropical,-4.69558
35,urban contemporary,-7.15664
36,indie folk,-9.0212
37,folk-pop,-8.37548
38,singer-songwriter,-9.31974
39,nu metal,-4.62476
40,hard rock,-7.59744
41,hip pop,-7.05727659574
42,contemporary country,-5.70694
43,indie poptimism,-5.94006382979
44,big room,-4.7534893617
45,rap metal,-4.38066
46,gangster rap,-5.75716
47,canadian pop,-7.55868
48,country road,-5.6408
49,country,-5.75878
50,folk rock,-9.30768
51,garage rock,-5.77420408163
52,house,-4.76658
53,grupera,-5.55904081633
54,latin hip hop,-4.6140212766
55,stomp and holler,-8.52281632653
56,underground hip hop,-7.33488
57,chamber pop,-10.78558
58,dirty south rap,-6.17602040816
59,rock en espanol,-6.63816
60,regional mexican,-5.49722
61,progressive house,-4.83976
62,roots rock,-8.87412
63,blues-rock,-7.87952
64,funk rock,-6.69646
65,alternative dance,-5.94438
66,modern country rock,-5.18228
67,dance rock,-8.45118
68,trap latino,-5.66640909091
69,europop,-6.10758
70,new wave,-8.24628
71,neo soul,-7.77078
72,synthpop,-7.37348
73,new wave pop,-8.31
74,adult standards,-10.35544
75,banda,-5.04124
76,latin alternative,-7.64914
77,neo-psychedelic,-6.48656
78,soul,-9.50782
79,classic funk rock,-8.96068
80,quiet storm,-8.70168
81,emo,-4.254
82,psychedelic rock,-9.40424
83,norteno,-5.28938
84,spanish pop,-5.6199
85,deep pop r&b,-7.9312826087
86,progressive electro house,-4.25696
87,deep indie r&b,-8.9924
88,rap rock,-4.48402
89,art rock,-10.62198
90,new rave,-6.07266
91,latin arena pop,-5.92078
92,escape room,-6.94916
93,motown,-9.34128
94,regional mexican pop,-5.48596
95,screamo,-4.18972
96,shimmer pop,-5.73164
97,electronic,-8.59398
98,brostep,-4.23224
99,metal,-7.14984
100,new romantic,-8.73522
101,teen pop,-5.69506
102,disco,-8.6798
103,deep big room,-4.30104081633
104,indie anthem-folk,-9.7333
105,pop reggaeton,-4.71666
106,reggaeton flow,-5.75614
107,crunk,-5.8207
108,funk,-9.06092
109,vapor soul,-7.51296
110,trap francais,-6.26191304348
