,genre,mode
0,modern rock,0.66
1,tropical house,0.48
2,pop rap,0.612244897959
3,pop,0.62
4,post-teen pop,0.64
5,rap,0.58
6,rock,0.76
7,dance pop,0.58
8,trap music,0.56
9,edm,0.4
10,alternative rock,0.69387755102
11,latin,0.56
12,pop rock,0.74
13,dwn trap,0.541666666667
14,alternative metal,0.5
15,neo mellow,0.86
16,r&b,0.46
17,southern hip hop,0.62
18,hip hop,0.66
19,classic rock,0.84
20,mellow gold,0.76
21,indie rock,0.64
22,album rock,0.84
23,viral pop,0.64
24,reggaeton,0.5
25,soft rock,0.74
26,post-grunge,0.52
27,indie r&b,0.6
28,latin pop,0.56
29,indie pop,0.7
30,pop punk,0.62
31,indietronica,0.44
32,permanent wave,0.666666666667
33,electro house,0.4
34,tropical,0.52
35,urban contemporary,0.44
36,indie folk,0.92
37,folk-pop,0.94
38,singer-songwriter,0.76
39,nu metal,0.52
40,hard rock,0.78
41,hip pop,0.404255319149
42,contemporary country,0.88
43,indie poptimism,0.68085106383
44,big room,0.617021276596
45,rap metal,0.6
46,gangster rap,0.56
47,canadian pop,0.36
48,country road,0.84
49,country,0.88
50,folk rock,0.8
51,garage rock,0.755102040816
52,house,0.42
53,grupera,0.857142857143
54,latin hip hop,0.489361702128
55,stomp and holler,0.938775510204
56,underground hip hop,0.74
57,chamber pop,0.82
58,dirty south rap,0.489795918367
59,rock en espanol,0.66
60,regional mexican,0.86
61,progressive house,0.44
62,roots rock,0.86
63,blues-rock,0.76
64,funk rock,0.54
65,alternative dance,0.62
66,modern country rock,0.84
67,dance rock,0.68
68,trap latino,0.613636363636
69,europop,0.54
70,new wave,0.7
71,neo soul,0.5
72,synthpop,0.64
73,new wave pop,0.78
74,adult standards,0.86
75,banda,0.86
76,latin alternative,0.48
77,neo-psychedelic,0.7
78,soul,0.72
79,classic funk rock,0.7
80,quiet storm,0.58
81,emo,0.66
82,psychedelic rock,0.66
83,norteno,0.86
84,spanish pop,0.74
85,deep pop r&b,0.413043478261
86,progressive electro house,0.58
87,deep indie r&b,0.36
88,rap rock,0.56
89,art rock,0.68
90,new rave,0.7
91,latin arena pop,0.84
92,escape room,0.52
93,motown,0.8
94,regional mexican pop,0.78
95,screamo,0.6
96,shimmer pop,0.66
97,electronic,0.52
98,brostep,0.66
99,metal,0.6
100,new romantic,0.7
101,teen pop,0.46
102,disco,0.68
103,deep big room,0.571428571429
104,indie anthem-folk,0.66
105,pop reggaeton,0.52
106,reggaeton flow,0.4
107,crunk,0.62
108,funk,0.64
109,vapor soul,0.6
110,trap francais,0.391304347826
111,acoustic pop,0.88
112,metropopolis,0.64
113,deep tropical house,0.64
114,west coast rap,0.62
115,deep german hip hop,0.571428571429
116,metalcore,0.46
117,punk,0.84
118,deep funk carioca,0.54
119,electronic trap,0.6
120,focus,0.62
121,new americana,0.96
122,east coast hip hop,0.42
123,folk,0.8
124,francoton,0.326086956522
125,sertanejo universitario,0.78
126,hardcore hip hop,0.416666666667
127,southern rock,0.88
128,brill building pop,0.82
129,german hip hop,0.591836734694
130,christian alternative rock,0.74
131,jazz blues,0.68
132,worship,0.86
133,groove metal,0.4
134,ranchera,0.96
135,boy band,0.64
136,piano rock,0.836734693878
137,talent show,0.74
138,freak folk,0.74
139,swedish pop,0.7
140,chillwave,0.6
141,british blues,0.68
142,modern blues,0.68
143,vocal jazz,0.56
144,argentine rock,0.56
145,g funk,0.571428571429
146,christian music,0.82
147,redneck,0.92
148,vegas indie,0.65306122449
149,new jack swing,0.469387755102
150,swedish idol pop,0.632653061224
151,bass trap,0.72
152,compositional ambient,0.68
153,mpb,0.56
154,country rock,0.86
155,dance-punk,0.64
156,memphis soul,0.8
157,ccm,0.86
158,deep underground hip hop,0.56
159,soundtrack,0.52
160,cumbia pop,0.6
161,noise pop,0.734693877551
162,rock-and-roll,0.88
163,soul blues,0.86
164,k-pop,0.571428571429
165,indie psych-rock,0.72
166,protopunk,0.72
167,moombahton,0.4
168,lo-fi,0.78
169,dream pop,0.734693877551
170,anthem worship,0.88
171,german pop,0.54
172,electric blues,0.72
173,outlaw country,0.84
174,melodic metalcore,0.44
175,detroit hip hop,0.56
176,hollywood,0.74
177,deep dutch hip hop,0.5
178,christian rock,0.82
179,southern soul,0.84
180,deep groove house,0.5
181,korean pop,0.52
182,chicago soul,0.795918367347
183,indiecoustica,0.897959183673
184,deep german pop rock,0.58
185,cantautor,0.82
186,glam metal,0.78
187,pagode,0.54
188,britpop,0.8
189,italian arena pop,0.72
190,traditional country,0.8
191,glam rock,0.84
192,alternative hip hop,0.66
193,funk metal,0.64
194,mariachi,0.88
195,deep australian indie,0.48
196,classify,0.6
197,underground pop rap,0.58
198,scorecore,0.479166666667
199,italian pop,0.72
200,samba,0.64
201,tracestep,0.44
202,complextro,0.5
203,deep pop edm,0.6
204,downtempo,0.530612244898
205,trip hop,0.5
206,grime,0.48
207,british invasion,0.72
208,speed metal,0.58
209,channel pop,0.82
210,classical,0.9
211,catstep,0.48
212,lilith,0.755102040816
213,bachata,0.44
214,bossa nova,0.58
215,deep house,0.46
216,skate punk,0.86
217,melancholia,0.8
218,vapor twitch,0.62
219,lift kit,0.938775510204
220,disco house,0.56
221,symphonic rock,0.78
222,comic,0.7
