,genre,speechiness
0,modern rock,0.062914
1,tropical house,0.068686
2,pop rap,0.158228571429
3,pop,0.084024
4,post-teen pop,0.095642
5,rap,0.154064
6,rock,0.051994
7,dance pop,0.091644
8,trap music,0.194116
9,edm,0.060866
10,alternative rock,0.051193877551
11,latin,0.095224
12,pop rock,0.054972
13,dwn trap,0.195320833333
14,alternative metal,0.056144
15,neo mellow,0.043054
16,r&b,0.116182
17,southern hip hop,0.206512
18,hip hop,0.202814
19,classic rock,0.055756
20,mellow gold,0.040548
21,indie rock,0.048796
22,album rock,0.05431
23,viral pop,0.079522
24,reggaeton,0.093446
25,soft rock,0.043484
26,post-grunge,0.05679
27,indie r&b,0.137664
28,latin pop,0.074908
29,indie pop,0.046686
30,pop punk,0.063922
31,indietronica,0.055924
32,permanent wave,0.0460333333333
33,electro house,0.064748
34,tropical,0.089228
35,urban contemporary,0.123068
36,indie folk,0.04578
37,folk-pop,0.0401
38,singer-songwriter,0.047952
39,nu metal,0.06241
40,hard rock,0.070894
41,hip pop,0.181110638298
42,contemporary country,0.044664
43,indie poptimism,0.0874765957447
44,big room,0.0662978723404
45,rap metal,0.068056
46,gangster rap,0.200792
47,canadian pop,0.156124
48,country road,0.040276
49,country,0.04129
50,folk rock,0.048652
51,garage rock,0.0584346938776
52,house,0.080142
53,grupera,0.0398
54,latin hip hop,0.0994638297872
55,stomp and holler,0.0359734693878
56,underground hip hop,0.179706
57,chamber pop,0.049802
58,dirty south rap,0.203902040816
59,rock en espanol,0.048408
60,regional mexican,0.059692
61,progressive house,0.064448
62,roots rock,0.057248
63,blues-rock,0.058948
64,funk rock,0.067714
65,alternative dance,0.05374
66,modern country rock,0.04095
67,dance rock,0.059712
68,trap latino,0.102388636364
69,europop,0.065034
70,new wave,0.053374
71,neo soul,0.122328
72,synthpop,0.049128
73,new wave pop,0.051568
74,adult standards,0.049054
75,banda,0.04217
76,latin alternative,0.053892
77,neo-psychedelic,0.057398
78,soul,0.05185
79,classic funk rock,0.060338
80,quiet storm,0.078416
81,emo,0.073178
82,psychedelic rock,0.045412
83,norteno,0.043682
84,spanish pop,0.048388
85,deep pop r&b,0.146845652174
86,progressive electro house,0.078764
87,deep indie r&b,0.13265
88,rap rock,0.081666
89,art rock,0.052662
90,new rave,0.053524
91,latin arena pop,0.043484
92,escape room,0.202688
93,motown,0.05249
94,regional mexican pop,0.05107
95,screamo,0.084614
96,shimmer pop,0.046502
97,electronic,0.06745
98,brostep,0.07636
99,metal,0.079362
100,new romantic,0.050718
101,teen pop,0.134438
102,disco,0.05206
103,deep big room,0.0850224489796
104,indie anthem-folk,0.059652
105,pop reggaeton,0.101484
106,reggaeton flow,0.126678
107,crunk,0.19966
108,funk,0.059454
109,vapor soul,0.098408
110,trap francais,0.146715217391
111,acoustic pop,0.046758
112,metropopolis,0.06436
113,deep tropical house,0.046334
114,west coast rap,0.245492
115,deep german hip hop,0.202665306122
116,metalcore,0.093666
117,punk,0.078618
118,deep funk carioca,0.161698
119,electronic trap,0.086852
120,focus,0.043184
121,new americana,0.034984
122,east coast hip hop,0.250712
123,folk,0.04102
124,francoton,0.112534782609
125,sertanejo universitario,0.09374
126,hardcore hip hop,0.25555625
127,southern rock,0.048338
128,brill building pop,0.050436
129,german hip hop,0.152957142857
130,christian alternative rock,0.046388
131,jazz blues,0.055558
132,worship,0.037526
133,groove metal,0.097928
134,ranchera,0.046254
135,boy band,0.062636
136,piano rock,0.0508142857143
137,talent show,0.067686
138,freak folk,0.038082
139,swedish pop,0.057372
140,chillwave,0.048862
141,british blues,0.057654
142,modern blues,0.047514
143,vocal jazz,0.053948
144,argentine rock,0.042188
145,g funk,0.203363265306
146,christian music,0.041888
147,redneck,0.047214
148,vegas indie,0.0781857142857
149,new jack swing,0.101040816327
150,swedish idol pop,0.0573040816327
151,bass trap,0.09152
152,compositional ambient,0.042098
153,mpb,0.063842
154,country rock,0.042612
155,dance-punk,0.050014
156,memphis soul,0.062406
157,ccm,0.03842
158,deep underground hip hop,0.186468
159,soundtrack,0.045238
160,cumbia pop,0.079652
161,noise pop,0.0410510204082
162,rock-and-roll,0.05213
163,soul blues,0.06312
164,k-pop,0.0915040816327
165,indie psych-rock,0.052478
166,protopunk,0.059364
167,moombahton,0.100236
168,lo-fi,0.042412
169,dream pop,0.0419244897959
170,anthem worship,0.038924
171,german pop,0.055696
172,electric blues,0.055782
173,outlaw country,0.041598
174,melodic metalcore,0.095378
175,detroit hip hop,0.205086
176,hollywood,0.146822
177,deep dutch hip hop,0.167667391304
178,christian rock,0.046306
179,southern soul,0.063418
180,deep groove house,0.06028
181,korean pop,0.092998
182,chicago soul,0.0561714285714
183,indiecoustica,0.0439653061224
184,deep german pop rock,0.075598
185,cantautor,0.048446
186,glam metal,0.059442
187,pagode,0.078988
188,britpop,0.05033
189,italian arena pop,0.070894
190,traditional country,0.044838
191,glam rock,0.064956
192,alternative hip hop,0.24256
193,funk metal,0.065946
194,mariachi,0.041496
195,deep australian indie,0.063458
