,genre,tempo
0,modern rock,125.8007
1,tropical house,112.59064
2,pop rap,122.75922449
3,pop,113.8999
4,post-teen pop,114.80606
5,rap,126.87532
6,rock,127.67078
7,dance pop,116.2386
8,trap music,128.8105
9,edm,110.86134
10,alternative rock,118.883755102
11,latin,115.52078
12,pop rock,118.46838
13,dwn trap,130.5829375
14,alternative metal,130.85738
15,neo mellow,117.74702
16,r&b,116.63294
17,southern hip hop,128.6346
18,hip hop,131.68508
19,classic rock,127.5867
20,mellow gold,124.9064
21,indie rock,122.23996
22,album rock,126.17588
23,viral pop,115.83624
24,reggaeton,123.05612
25,soft rock,126.45942
26,post-grunge,131.90342
27,indie r&b,112.8019
28,latin pop,110.87098
29,indie pop,119.52066
30,pop punk,126.46378
31,indietronica,111.89302
32,permanent wave,119.626458333
33,electro house,124.32122
34,tropical,118.56662
35,urban contemporary,113.7735
36,indie folk,118.00362
37,folk-pop,121.28752
38,singer-songwriter,126.5596
39,nu metal,131.67868
40,hard rock,124.7244
41,hip pop,121.824893617
42,contemporary country,118.49462
43,indie poptimism,115.899914894
44,big room,123.982021277
45,rap metal,124.05326
46,gangster rap,121.48754
47,canadian pop,120.58388
48,country road,115.00114
49,country,119.5087
50,folk rock,126.05938
51,garage rock,120.870204082
52,house,118.47178
53,grupera,135.625265306
54,latin hip hop,124.522021277
55,stomp and holler,118.670959184
56,underground hip hop,127.21152
57,chamber pop,119.50244
58,dirty south rap,129.993755102
59,rock en espanol,124.71072
60,regional mexican,128.54478
61,progressive house,120.93154
62,roots rock,119.85162
63,blues-rock,119.02614
64,funk rock,112.20008
65,alternative dance,120.81576
66,modern country rock,124.09918
67,dance rock,124.44208
68,trap latino,130.47275
69,europop,119.40424
70,new wave,124.99796
71,neo soul,114.2995
72,synthpop,120.52204
73,new wave pop,125.55152
74,adult standards,118.35802
75,banda,132.4888
76,latin alternative,127.42476
77,neo-psychedelic,123.93738
78,soul,109.69646
79,classic funk rock,119.24038
80,quiet storm,113.32388
81,emo,133.43604
82,psychedelic rock,122.78196
83,norteno,133.15256
84,spanish pop,119.62424
85,deep pop r&b,118.973021739
86,progressive electro house,126.8984
87,deep indie r&b,104.84994
88,rap rock,122.32498
89,art rock,125.27498
90,new rave,123.11174
91,latin arena pop,128.84148
92,escape room,114.66656
93,motown,119.7479
94,regional mexican pop,130.11846
95,screamo,138.23148
96,shimmer pop,111.67554
97,electronic,114.94856
98,brostep,132.78766
99,metal,132.92
100,new romantic,124.89748
101,teen pop,118.468
102,disco,113.70938
103,deep big room,123.518040816
104,indie anthem-folk,115.18162
105,pop reggaeton,120.18064
106,reggaeton flow,135.50456
107,crunk,124.64102
108,funk,115.9641
109,vapor soul,118.77736
110,trap francais,124.362543478
111,acoustic pop,124.26718
112,metropopolis,114.77684
113,deep tropical house,112.74858
114,west coast rap,119.081
115,deep german hip hop,114.10944898
116,metalcore,134.70084
117,punk,137.7673
118,deep funk carioca,122.39906
119,electronic trap,129.1772
120,focus,103.64414
121,new americana,116.68276
122,east coast hip hop,115.37652
123,folk,119.36674
124,francoton,119.966065217
125,sertanejo universitario,125.2165
126,hardcore hip hop,114.465375
127,southern rock,124.03452
128,brill building pop,115.43306
129,german hip hop,109.59455102
130,christian alternative rock,128.6371
131,jazz blues,115.27978
132,worship,128.07856
133,groove metal,121.33488
134,ranchera,127.72134
135,boy band,116.98366
136,piano rock,124.498836735
137,talent show,117.14778
138,freak folk,124.52582
139,swedish pop,119.49902
140,chillwave,117.68566
141,british blues,118.03712
142,modern blues,116.38672
143,vocal jazz,111.65552
144,argentine rock,125.02594
145,g funk,111.476081633
146,christian music,125.4391
147,redneck,128.2458
148,vegas indie,129.046081633
149,new jack swing,117.763163265
150,swedish idol pop,119.208408163
151,bass trap,130.89168
152,compositional ambient,107.79008
153,mpb,121.00232
154,country rock,123.08
155,dance-punk,128.64024
156,memphis soul,120.32136
157,ccm,125.30918
158,deep underground hip hop,120.29404
159,soundtrack,110.56418
160,cumbia pop,119.9912
161,noise pop,121.543959184
162,rock-and-roll,121.35954
163,soul blues,122.05266
164,k-pop,113.498367347
165,indie psych-rock,117.12268
166,protopunk,126.21922
167,moombahton,129.76824
168,lo-fi,115.1558
169,dream pop,127.414591837
170,anthem worship,130.25048
171,german pop,125.03402
172,electric blues,124.00802
173,outlaw country,109.58972
174,melodic metalcore,130.7361
175,detroit hip hop,115.02892
176,hollywood,116.29796
177,deep dutch hip hop,118.360804348
178,christian rock,129.16296
179,southern soul,121.16876
180,deep groove house,122.78666
181,korean pop,113.57798
182,chicago soul,118.549244898
183,indiecoustica,118.699571429
184,deep german pop rock,120.72874
185,cantautor,121.90486
186,glam metal,123.43966
187,pagode,122.5777
188,britpop,132.30274
189,italian arena pop,116.79534
190,traditional country,117.60866
191,glam rock,126.30826
192,alternative hip hop,109.75144
193,funk metal,112.8154
194,mariachi,129.25784
195,deep australian indie,116.26882
196,classify,106.6535
197,underground pop rap,116.11212
198,scorecore,106.672666667
199,italian pop,121.75388
200,samba,119.81986
201,tracestep,130.27278
202,complextro,127.94266
203,deep pop edm,116.72838
204,downtempo,122.551816327
205,trip hop,124.43208
206,grime,118.26802
207,british invasion,127.21338
208,speed metal,134.83266
209,channel pop,113.37784
210,classical,98.4749333333
211,catstep,131.96452
212,lilith,118.230877551
213,bachata,128.68632
214,bossa nova,113.08266
215,deep house,118.37482
216,skate punk,137.1889
217,melancholia,110.75716
218,vapor twitch,118.90526
219,lift kit,125.210285714
220,disco house,122.9626
221,symphonic rock,122.20354
222,comic,123.26162
223,pop emo,135.829212766
224,anti-folk,111.8786
225,grunge,122.190866667
226,duranguense,127.13318
227,australian dance,124.46966
228,traditional folk,116.09064
229,bubblegum pop,118.57522
230,otacore,118.73666
231,chillhop,94.7276122449
232,hoerspiel,102.021081633
233,australian alternative rock,124.75042
234,reggae fusion,114.31354
235,sertanejo,131.73072
236,la indie,112.9911
237,jazz,107.57178
238,rockabilly,118.5544
239,cumbia,116.61942
240,nueva cancion,111.32838
241,progressive rock,125.06494
242,texas country,124.94012
243,nu jazz,122.345734694
244,video game music,110.094186047
245,romantic,98.4749333333
246,roots reggae,118.79632
247,slow core,114.7808
248,swedish folk pop,123.54952
249,space rock,122.9287
250,madchester,128.06536
251,power metal,137.51612
252,progressive metal,137.7507
253,dancehall,113.209346939
254,nu gaze,117.40328
255,alt-indie rock,127.61928
256,french pop,113.34908
257,world worship,123.25798
258,reggae,119.85034
259,deep trap,125.440040816
260,opm,116.68246
261,alternative country,113.53056
262,deep danish pop,118.14088
263,mandopop,131.73682
264,spanish rock,132.084530612
265,industrial metal,125.79114
266,deep southern trap,131.01214
267,forro,146.53572
268,sky room,126.84806
269,brazilian hip hop,122.61266
270,nashville sound,117.4814
271,indie garage rock,112.65477551
272,taiwanese pop,131.73682
273,bolero,122.73856
274,thrash metal,130.14204
275,merseybeat,121.14172
276,danish pop,115.78898
277,lounge,116.06618
278,trance,128.36716
279,finnish dance pop,120.863958333
280,jam band,131.57976
281,deep latin hip hop,122.459571429
282,chamber psych,122.60498
283,jazz funk,112.9849
284,deep taiwanese pop,131.85084
285,turkish pop,111.06942
286,cool jazz,107.7376
287,post-punk,124.91488
288,salsa,113.78124
289,eurodance,129.8279
290,preverb,116.5887
291,brooklyn indie,124.272367347
292,c-pop,131.73682
293,swedish alternative rock,133.67634
294,minimal,103.05264
295,german techno,126.766693878
296,pixie,128.25448
297,chilean rock,120.91242
298,deep cumbia sonidera,126.89414
299,candy pop,131.264306122
300,filter house,117.74294
301,post-screamo,132.58014
302,punk blues,125.48554
303,vocal house,123.455040816
304,deep euro house,121.9595
305,deep new americana,107.62358
306,bow pop,125.6342
307,french hip hop,113.02368
308,alternative emo,133.55058
309,axe,124.555734694
310,big beat,127.000571429
311,cabaret,113.5784
312,finnish pop,123.614918367
313,progressive trance,128.43628
314,chanson,112.98016
315,swedish indie rock,128.71532
316,industrial rock,121.58082
317,merengue,122.39044
318,etherpop,119.427367347
319,garage psych,131.50488
320,jazz fusion,104.6501
321,power pop,128.31186
322,ninja,115.87552
323,cantopop,132.35377551
324,uk post-punk,127.135142857
325,melodic death metal,128.44996
326,deep swedish hip hop,113.3223
327,country dawn,131.451204082
328,bubblegum dance,127.5543
329,show tunes,112.633489796
330,post rock,107.00768
331,dutch hip hop,118.123040816
332,vallenato,122.04402
333,shiver pop,116.47584
334,italian hip hop,117.11974
335,dutch pop,118.316061224
336,post-disco,117.57114
337,bebop,108.73134
338,deep regional mexican,121.7263
339,spanish pop rock,128.30755102
340,modern classical,108.499045455
341,swedish eurodance,133.00412
342,contemporary post-bop,107.74848
343,minimal techno,122.54458
344,irish rock,127.10526
345,dutch house,130.446978723
346,turkish rock,122.063632653
347,easy listening,113.35272
348,swedish hip hop,123.542
349,danspunk,137.340387755
350,australian pop,118.6881
351,indonesian pop,122.51258
352,canadian indie,115.503979592
353,wrestling,129.049040816
354,microhouse,124.397469388
355,hip house,121.36624
356,cumbia villera,116.063204082
357,west coast trap,121.80008
358,texas blues,119.72504
359,celtic rock,131.96524
360,broadway,116.33214
361,pinoy alternative,118.57266
362,french indietronica,117.2826
363,blues,123.88916
364,acid jazz,120.063521739
365,anthem emo,129.580959184
366,chillstep,128.00012
367,movie tunes,116.15278
368,tech house,123.19172
369,uk funky,127.518816327
370,norwegian indie,120.648306122
371,progressive bluegrass,119.4391
372,classic swedish pop,120.447270833
373,traditional blues,118.60148
374,soul jazz,110.61688
375,stoner rock,128.32446
376,melodic hardcore,131.93926
377,experimental rock,116.97162
378,turntablism,119.03504
379,norwegian pop,122.74718
380,minimal dub,119.875530612
381,fourth world,99.688244898
382,electro,124.64164
383,swing,106.56716
384,latin christian,127.90616
385,dreamo,126.67148
386,indie jazz,109.0268
387,rock gaucho,124.25042
388,french rock,115.463326531
389,post-hardcore,131.77504
390,epicore,116.621791667
391,azontobeats,110.98974
392,zapstep,141.84486
393,deep chiptune,117.26708
394,sheffield indie,128.20314
395,uplifting trance,132.49374
396,noise rock,121.342170213
397,progressive post-hardcore,137.66566
398,hard bop,106.93942
399,antiviral pop,121.778040816
400,aussietronica,117.6569
401,indie punk,129.257
402,death core,136.663395833
403,electro latino,113.9862
404,ambient,97.619122449
405,reggae rock,120.18386
406,country blues,114.6114
407,anime,140.79652
408,deep funk,111.78562
409,new age,109.81484
410,french reggae,106.517266667
411,j-pop,128.1199
412,groove room,119.12286
413,lovers rock,111.81316
414,deep melodic euro house,117.42658
415,death metal,120.53282
416,nu disco,114.04977551
417,indie rockism,124.609387755
418,electro swing,120.131836735
419,country gospel,114.74606
420,neo classical metal,132.9389
421,mexican indie,135.640204082
422,uk garage,125.280918367
423,gothic metal,131.16604
424,stride,109.95024
425,industrial,123.53668
426,canadian metal,135.9197
427,future funk,108.77194
428,christian uplift,121.6868
429,brazilian gospel,130.113875
430,german metal,120.91516
431,swedish indie pop,124.53398
432,gauze pop,121.39746
433,turkish jazz,111.17888
434,christian hip hop,127.761591837
435,latin jazz,106.21162
436,stoner metal,132.46696
437,experimental,124.5563125
438,ska,128.16312
439,french indie pop,119.713645833
440,deep ccm,122.37466
441,merengue urbano,125.57142
442,classic norwegian pop,120.35755102
443,pub rock,126.98572
444,memphis blues,117.34338
445,ska punk,128.74316
446,suomi rock,130.696604167
447,afrobeats,107.8371
448,hyphy,105.98944898
449,liquid funk,149.07506
450,swedish synthpop,120.5658
451,chicago blues,117.4769
452,drill,130.39528
453,vaporwave,117.29334
454,neue deutsche harte,128.16856
455,louvor,113.805061224
456,world,116.632244898
457,dub,118.34568
458,smooth jazz,105.69164
459,drum and bass,149.8634
460,memphis hip hop,128.31994
461,j-rock,145.20836
462,new orleans blues,119.31174
463,new weird america,114.115520833
464,german pop rock,124.01826
465,old school hip hop,112.865081633
466,relaxative,103.53652
467,trova,108.31162
468,big band,114.45046
469,hardcore punk,144.59434
470,stomp pop,128.366
471,bass music,121.36862
472,flamenco,115.097851064
473,indonesian indie,113.007734694
474,comedy,100.52
475,baroque,95.9874482759
476,viking metal,138.19034
477,russelater,125.114714286
478,djent,128.214957447
479,mambo,105.96564
480,acoustic blues,117.00344
481,spanish indie pop,131.599918367
482,swedish metal,126.81014
483,delta blues,119.11524
484,norwegian rock,123.57212
