,genre,valence
0,modern rock,0.52298
1,tropical house,0.471182
2,pop rap,0.462408163265
3,pop,0.528396
4,post-teen pop,0.493576
5,rap,0.42234
6,rock,0.53828
7,dance pop,0.506996
8,trap music,0.424244
9,edm,0.432622
10,alternative rock,0.526591836735
11,latin,0.64828
12,pop rock,0.519352
13,dwn trap,0.442127083333
14,alternative metal,0.4854
15,neo mellow,0.445852
16,r&b,0.469792
17,southern hip hop,0.390526
18,hip hop,0.385738
19,classic rock,0.53786
20,mellow gold,0.62528
21,indie rock,0.4983
22,album rock,0.57076
23,viral pop,0.479812
24,reggaeton,0.61432
25,soft rock,0.62464
26,post-grunge,0.50534
27,indie r&b,0.329672
28,latin pop,0.73404
29,indie pop,0.45104
30,pop punk,0.61102
31,indietronica,0.481556
32,permanent wave,0.4801875
33,electro house,0.463462
34,tropical,0.68566
35,urban contemporary,0.473756
36,indie folk,0.3308
37,folk-pop,0.3591
38,singer-songwriter,0.53242
39,nu metal,0.46138
40,hard rock,0.50652
41,hip pop,0.515646808511
42,contemporary country,0.5817
43,indie poptimism,0.425504255319
44,big room,0.439810638298
45,rap metal,0.488024
46,gangster rap,0.535786
47,canadian pop,0.431638
48,country road,0.57828
49,country,0.56354
50,folk rock,0.6838
51,garage rock,0.554081632653
52,house,0.58638
53,grupera,0.811102040816
54,latin hip hop,0.651617021277
55,stomp and holler,0.376857142857
56,underground hip hop,0.436464
57,chamber pop,0.316684
58,dirty south rap,0.479620408163
59,rock en espanol,0.6746
60,regional mexican,0.80464
61,progressive house,0.45848
62,roots rock,0.64684
63,blues-rock,0.61114
64,funk rock,0.57938
65,alternative dance,0.555798
66,modern country rock,0.54048
67,dance rock,0.74682
68,trap latino,0.542704545455
69,europop,0.64752
70,new wave,0.7134
71,neo soul,0.502376
72,synthpop,0.575004
73,new wave pop,0.69522
74,adult standards,0.522252
75,banda,0.7903
76,latin alternative,0.621222
77,neo-psychedelic,0.537646
78,soul,0.6932
79,classic funk rock,0.71044
80,quiet storm,0.73078
81,emo,0.56847
82,psychedelic rock,0.54822
83,norteno,0.80758
84,spanish pop,0.57784
85,deep pop r&b,0.365619565217
86,progressive electro house,0.41926
87,deep indie r&b,0.342494
88,rap rock,0.491504
89,art rock,0.59056
90,new rave,0.566818
91,latin arena pop,0.48024
92,escape room,0.5249
93,motown,0.76868
94,regional mexican pop,0.81298
95,screamo,0.40919
96,shimmer pop,0.450132
97,electronic,0.540024
98,brostep,0.358952
99,metal,0.468124
100,new romantic,0.71464
101,teen pop,0.481438
102,disco,0.79362
103,deep big room,0.416604081633
104,indie anthem-folk,0.302468
105,pop reggaeton,0.62528
106,reggaeton flow,0.55302
107,crunk,0.482634
108,funk,0.69874
109,vapor soul,0.32802
110,trap francais,0.537684782609
111,acoustic pop,0.421508
112,metropopolis,0.365872
113,deep tropical house,0.448844
114,west coast rap,0.506226
115,deep german hip hop,0.501367346939
116,metalcore,0.39796
117,punk,0.62842
118,deep funk carioca,0.65298
119,electronic trap,0.314036
120,focus,0.140694
121,new americana,0.39786
122,east coast hip hop,0.620312
123,folk,0.56522
124,francoton,0.519695652174
125,sertanejo universitario,0.63056
126,hardcore hip hop,0.649666666667
127,southern rock,0.64538
128,brill building pop,0.70304
129,german hip hop,0.564265306122
130,christian alternative rock,0.350136
131,jazz blues,0.480522
132,worship,0.257918
133,groove metal,0.375444
134,ranchera,0.7225
135,boy band,0.57904
136,piano rock,0.440991836735
137,talent show,0.45942
138,freak folk,0.475014
139,swedish pop,0.46129
140,chillwave,0.3165
141,british blues,0.6356
142,modern blues,0.45222
143,vocal jazz,0.398542
144,argentine rock,0.6385
145,g funk,0.534765306122
146,christian music,0.318896
147,redneck,0.52456
148,vegas indie,0.462387755102
149,new jack swing,0.615669387755
150,swedish idol pop,0.464551020408
151,bass trap,0.355006
152,compositional ambient,0.119442
153,mpb,0.58584
154,country rock,0.65998
155,dance-punk,0.531814
156,memphis soul,0.70088
157,ccm,0.289076
158,deep underground hip hop,0.415082
159,soundtrack,0.143126
160,cumbia pop,0.74072
161,noise pop,0.476528571429
162,rock-and-roll,0.70806
163,soul blues,0.69426
164,k-pop,0.596918367347
165,indie psych-rock,0.50483
166,protopunk,0.49634
167,moombahton,0.465252
168,lo-fi,0.515858
169,dream pop,0.370904081633
170,anthem worship,0.261728
171,german pop,0.613166
172,electric blues,0.66484
173,outlaw country,0.54016
174,melodic metalcore,0.343312
175,detroit hip hop,0.439752
176,hollywood,0.412854
177,deep dutch hip hop,0.539434782609
178,christian rock,0.338268
179,southern soul,0.69244
180,deep groove house,0.45158
181,korean pop,0.60646
182,chicago soul,0.696163265306
183,indiecoustica,0.340991836735
184,deep german pop rock,0.51222
185,cantautor,0.429206
186,glam metal,0.54892
187,pagode,0.6329
188,britpop,0.6229
189,italian arena pop,0.5117
190,traditional country,0.55138
191,glam rock,0.55872
192,alternative hip hop,0.553574
193,funk metal,0.553964
194,mariachi,0.62418
195,deep australian indie,0.369818
196,classify,0.156258
197,underground pop rap,0.406786
198,scorecore,0.193408333333
199,italian pop,0.49506
200,samba,0.60242
201,tracestep,0.348274
202,complextro,0.333298
203,deep pop edm,0.44164
