genre,danceability
flare.genre
flare.genre.modern rock,0.57738
flare.genre.tropical house,0.66658
flare.genre.pop rap,0.752244897959
flare.genre.pop,0.67534
flare.genre.post-teen pop,0.66224
flare.genre.rap,0.76126
flare.genre.rock,0.49812
flare.genre.dance pop,0.66028
flare.genre.trap music,0.7861
flare.genre.edm,0.66358
flare.genre.alternative rock,0.513408163265
flare.genre.latin,0.72052
flare.genre.pop rock,0.5872
flare.genre.dwn trap,0.792125
flare.genre.alternative metal,0.5149
flare.genre.neo mellow,0.56554
flare.genre.r&b,0.66478
flare.genre.southern hip hop,0.75654
flare.genre.hip hop,0.74284
flare.genre.classic rock,0.52204
flare.genre.mellow gold,0.57614
flare.genre.indie rock,0.5522
flare.genre.album rock,0.53294
flare.genre.viral pop,0.62128
flare.genre.reggaeton,0.73462
flare.genre.soft rock,0.57012
flare.genre.post-grunge,0.51352
flare.genre.indie r&b,0.60606
flare.genre.latin pop,0.73072
flare.genre.indie pop,0.57624
flare.genre.pop punk,0.547
flare.genre.indietronica,0.63692
flare.genre.permanent wave,0.504770833333
flare.genre.electro house,0.66286
flare.genre.tropical,0.7375
flare.genre.urban contemporary,0.65596
flare.genre.indie folk,0.52366
flare.genre.folk-pop,0.54414
flare.genre.singer-songwriter,0.5951
flare.genre.nu metal,0.51912
flare.genre.hard rock,0.4589
flare.genre.hip pop,0.667872340426
flare.genre.contemporary country,0.58834
flare.genre.indie poptimism,0.635276595745
flare.genre.big room,0.641553191489
flare.genre.rap metal,0.54896
flare.genre.gangster rap,0.76094
flare.genre.canadian pop,0.65724
flare.genre.country road,0.58742
flare.genre.country,0.58628
flare.genre.folk rock,0.58884
flare.genre.garage rock,0.533265306122
flare.genre.house,0.70762
flare.genre.grupera,0.707387755102
flare.genre.latin hip hop,0.736340425532
flare.genre.stomp and holler,0.524795918367
flare.genre.underground hip hop,0.80384
flare.genre.chamber pop,0.51142
flare.genre.dirty south rap,0.738857142857
flare.genre.rock en espanol,0.67116
flare.genre.regional mexican,0.71838
flare.genre.progressive house,0.6425
flare.genre.roots rock,0.57044
flare.genre.blues-rock,0.53066
flare.genre.funk rock,0.57054
flare.genre.alternative dance,0.6264
flare.genre.modern country rock,0.5602
flare.genre.dance rock,0.6419
flare.genre.trap latino,0.741795454545
flare.genre.europop,0.6809
flare.genre.new wave,0.62186
flare.genre.neo soul,0.64696
flare.genre.synthpop,0.63182
flare.genre.new wave pop,0.62058
flare.genre.adult standards,0.49982
flare.genre.banda,0.70418
flare.genre.latin alternative,0.64588
flare.genre.neo-psychedelic,0.55396
flare.genre.soul,0.59218
flare.genre.classic funk rock,0.59606
flare.genre.quiet storm,0.6592
flare.genre.emo,0.52648
flare.genre.psychedelic rock,0.4961
flare.genre.norteno,0.71908
flare.genre.spanish pop,0.65088
flare.genre.deep pop r&b,0.609152173913
flare.genre.progressive electro house,0.6395
flare.genre.deep indie r&b,0.55222
flare.genre.rap rock,0.52034
flare.genre.art rock,0.54378
flare.genre.new rave,0.60086
flare.genre.latin arena pop,0.60962
flare.genre.escape room,0.73234
flare.genre.motown,0.62376
flare.genre.regional mexican pop,0.67922
flare.genre.screamo,0.44712
flare.genre.shimmer pop,0.55482
flare.genre.electronic,0.65008
flare.genre.brostep,0.56592
flare.genre.metal,0.44538
flare.genre.new romantic,0.6319
flare.genre.teen pop,0.67018
flare.genre.disco,0.69572
flare.genre.deep big room,0.652653061224
flare.genre.indie anthem-folk,0.49412
flare.genre.pop reggaeton,0.7298
flare.genre.reggaeton flow,0.75754
flare.genre.crunk,0.73202
flare.genre.funk,0.6621
flare.genre.vapor soul,0.62474
flare.genre.trap francais,0.778217391304
flare.genre.acoustic pop,0.53438
flare.genre.metropopolis,0.60118
flare.genre.deep tropical house,0.67786
flare.genre.west coast rap,0.71956
flare.genre.deep german hip hop,0.699571428571
flare.genre.metalcore,0.44674
flare.genre.punk,0.47528
flare.genre.deep funk carioca,0.7781
flare.genre.electronic trap,0.57518
flare.genre.focus,0.315248
flare.genre.new americana,0.53054
flare.genre.east coast hip hop,0.7068
flare.genre.folk,0.56598
flare.genre.francoton,0.731608695652
flare.genre.sertanejo universitario,0.63272
flare.genre.hardcore hip hop,0.733958333333
flare.genre.southern rock,0.53418
flare.genre.brill building pop,0.569
flare.genre.german hip hop,0.650469387755
flare.genre.christian alternative rock,0.47214
flare.genre.jazz blues,0.52914
flare.genre.worship,0.42932
flare.genre.groove metal,0.46706
flare.genre.ranchera,0.6119
flare.genre.boy band,0.65118
flare.genre.piano rock,0.52593877551
flare.genre.talent show,0.61704
flare.genre.freak folk,0.52666
flare.genre.swedish pop,0.6334
flare.genre.chillwave,0.54128
flare.genre.british blues,0.52226
flare.genre.modern blues,0.55058
flare.genre.vocal jazz,0.48082
flare.genre.argentine rock,0.60796
flare.genre.g funk,0.751469387755
flare.genre.christian music,0.4555
flare.genre.redneck,0.57236
flare.genre.vegas indie,0.523836734694
flare.genre.new jack swing,0.701591836735
flare.genre.swedish idol pop,0.665224489796
flare.genre.bass trap,0.58946
flare.genre.compositional ambient,0.313968
flare.genre.mpb,0.65362
flare.genre.country rock,0.56952
flare.genre.dance-punk,0.57986
flare.genre.memphis soul,0.64318
flare.genre.ccm,0.44778
flare.genre.deep underground hip hop,0.68952
flare.genre.soundtrack,0.313598
flare.genre.cumbia pop,0.71358
flare.genre.noise pop,0.519204081633
flare.genre.rock-and-roll,0.5572
flare.genre.soul blues,0.64056
flare.genre.k-pop,0.691897959184
flare.genre.indie psych-rock,0.60716
flare.genre.protopunk,0.45574
flare.genre.moombahton,0.6367
flare.genre.lo-fi,0.54444
flare.genre.dream pop,0.487565306122
flare.genre.anthem worship,0.42094
flare.genre.german pop,0.6947
flare.genre.electric blues,0.5347
flare.genre.outlaw country,0.58972
flare.genre.melodic metalcore,0.4542
flare.genre.detroit hip hop,0.71466
flare.genre.hollywood,0.53338
flare.genre.deep dutch hip hop,0.753152173913
flare.genre.christian rock,0.47986
flare.genre.southern soul,0.64208
flare.genre.deep groove house,0.67676
flare.genre.korean pop,0.67162
flare.genre.chicago soul,0.643673469388
flare.genre.indiecoustica,0.51112244898
flare.genre.deep german pop rock,0.6733
flare.genre.cantautor,0.57334
flare.genre.glam metal,0.48988
flare.genre.pagode,0.61754
flare.genre.britpop,0.48456
flare.genre.italian arena pop,0.6357
flare.genre.traditional country,0.57862
flare.genre.glam rock,0.53708
flare.genre.alternative hip hop,0.6976
flare.genre.funk metal,0.57818
flare.genre.mariachi,0.55644
flare.genre.deep australian indie,0.57446
flare.genre.classify,0.38198
flare.genre.underground pop rap,0.65632
flare.genre.scorecore,0.314291666667
flare.genre.italian pop,0.58822
flare.genre.samba,0.64778
flare.genre.tracestep,0.58878
flare.genre.complextro,0.58728
flare.genre.deep pop edm,0.62486
flare.genre.downtempo,0.585591836735
flare.genre.trip hop,0.6066
flare.genre.grime,0.67682
flare.genre.british invasion,0.46578
flare.genre.speed metal,0.40306
flare.genre.channel pop,0.54734
flare.genre.classical,0.351533333333
flare.genre.catstep,0.59374
flare.genre.lilith,0.536183673469
flare.genre.bachata,0.77208
flare.genre.bossa nova,0.53274
flare.genre.deep house,0.6909
flare.genre.skate punk,0.46108
flare.genre.melancholia,0.41446
flare.genre.vapor twitch,0.60646
flare.genre.lift kit,0.565632653061
flare.genre.disco house,0.69844
