id, value
modern rock,0.57738
tropical house,0.66658
pop rap,0.752244897959
pop,0.67534
post-teen pop,0.66224
rap,0.76126
rock,0.49812
dance pop,0.66028
trap music,0.7861
edm,0.66358
alternative rock,0.513408163265
latin,0.72052
pop rock,0.5872
dwn trap,0.792125
alternative metal,0.5149
neo mellow,0.56554
r&b,0.66478
southern hip hop,0.75654
hip hop,0.74284
classic rock,0.52204
mellow gold,0.57614
indie rock,0.5522
album rock,0.53294
viral pop,0.62128
reggaeton,0.73462
soft rock,0.57012
post-grunge,0.51352
indie r&b,0.60606
latin pop,0.73072
indie pop,0.57624
pop punk,0.547
indietronica,0.63692
permanent wave,0.504770833333
electro house,0.66286
tropical,0.7375
urban contemporary,0.65596
indie folk,0.52366
folk-pop,0.54414
singer-songwriter,0.5951
nu metal,0.51912
hard rock,0.4589
hip pop,0.667872340426
contemporary country,0.58834
indie poptimism,0.635276595745
big room,0.641553191489
rap metal,0.54896
gangster rap,0.76094
canadian pop,0.65724
country road,0.58742
country,0.58628
folk rock,0.58884
garage rock,0.533265306122
house,0.70762
grupera,0.707387755102
latin hip hop,0.736340425532
stomp and holler,0.524795918367
underground hip hop,0.80384
chamber pop,0.51142
dirty south rap,0.738857142857
rock en espanol,0.67116
regional mexican,0.71838
progressive house,0.6425
roots rock,0.57044
blues-rock,0.53066
funk rock,0.57054
alternative dance,0.6264
modern country rock,0.5602
dance rock,0.6419
trap latino,0.741795454545
europop,0.6809
new wave,0.62186
neo soul,0.64696
synthpop,0.63182
new wave pop,0.62058
adult standards,0.49982
banda,0.70418
latin alternative,0.64588
neo-psychedelic,0.55396
soul,0.59218
classic funk rock,0.59606
quiet storm,0.6592
emo,0.52648
psychedelic rock,0.4961
norteno,0.71908
spanish pop,0.65088
deep pop r&b,0.609152173913
progressive electro house,0.6395
deep indie r&b,0.55222
rap rock,0.52034
art rock,0.54378
new rave,0.60086
latin arena pop,0.60962
escape room,0.73234
motown,0.62376
regional mexican pop,0.67922
screamo,0.44712
shimmer pop,0.55482
electronic,0.65008
brostep,0.56592
metal,0.44538
new romantic,0.6319
teen pop,0.67018
disco,0.69572
deep big room,0.652653061224
indie anthem-folk,0.49412
pop reggaeton,0.7298
reggaeton flow,0.75754
crunk,0.73202
funk,0.6621
vapor soul,0.62474
trap francais,0.778217391304
acoustic pop,0.53438
metropopolis,0.60118
deep tropical house,0.67786
west coast rap,0.71956
deep german hip hop,0.699571428571
metalcore,0.44674
punk,0.47528
deep funk carioca,0.7781
electronic trap,0.57518
focus,0.315248
new americana,0.53054
east coast hip hop,0.7068
folk,0.56598
francoton,0.731608695652
sertanejo universitario,0.63272
hardcore hip hop,0.733958333333
southern rock,0.53418
brill building pop,0.569
german hip hop,0.650469387755
christian alternative rock,0.47214
jazz blues,0.52914
worship,0.42932
groove metal,0.46706
ranchera,0.6119
boy band,0.65118
piano rock,0.52593877551
talent show,0.61704
freak folk,0.52666
swedish pop,0.6334
chillwave,0.54128
british blues,0.52226
modern blues,0.55058
vocal jazz,0.48082
argentine rock,0.60796
g funk,0.751469387755
christian music,0.4555
redneck,0.57236
vegas indie,0.523836734694
new jack swing,0.701591836735
swedish idol pop,0.665224489796
bass trap,0.58946
compositional ambient,0.313968
mpb,0.65362
country rock,0.56952
dance-punk,0.57986
memphis soul,0.64318
ccm,0.44778
deep underground hip hop,0.68952
soundtrack,0.313598
cumbia pop,0.71358
noise pop,0.519204081633
rock-and-roll,0.5572
soul blues,0.64056
k-pop,0.691897959184
indie psych-rock,0.60716
protopunk,0.45574
moombahton,0.6367
lo-fi,0.54444
dream pop,0.487565306122
anthem worship,0.42094
german pop,0.6947
electric blues,0.5347
outlaw country,0.58972
melodic metalcore,0.4542
detroit hip hop,0.71466
hollywood,0.53338
deep dutch hip hop,0.753152173913
christian rock,0.47986
southern soul,0.64208
deep groove house,0.67676
korean pop,0.67162
chicago soul,0.643673469388
indiecoustica,0.51112244898
deep german pop rock,0.6733
cantautor,0.57334
glam metal,0.48988
pagode,0.61754
britpop,0.48456
italian arena pop,0.6357
traditional country,0.57862
glam rock,0.53708
alternative hip hop,0.6976
funk metal,0.57818
mariachi,0.55644
deep australian indie,0.57446
classify,0.38198
underground pop rap,0.65632
scorecore,0.314291666667
italian pop,0.58822
samba,0.64778
tracestep,0.58878
complextro,0.58728
deep pop edm,0.62486
downtempo,0.585591836735
trip hop,0.6066
grime,0.67682
british invasion,0.46578
speed metal,0.40306
channel pop,0.54734
classical,0.351533333333
catstep,0.59374
lilith,0.536183673469
bachata,0.77208
bossa nova,0.53274
deep house,0.6909
skate punk,0.46108
melancholia,0.41446
vapor twitch,0.60646
lift kit,0.565632653061
disco house,0.69844
symphonic rock,0.48406
comic,0.60988
pop emo,0.531212765957
anti-folk,0.54106
grunge,0.417177777778
duranguense,0.67978
australian dance,0.57172
traditional folk,0.5915
bubblegum pop,0.58498
otacore,0.49718
chillhop,0.665795918367
hoerspiel,0.648714285714
australian alternative rock,0.556
reggae fusion,0.73818
sertanejo,0.64854
la indie,0.62386
jazz,0.49218
rockabilly,0.58084
cumbia,0.68186
nueva cancion,0.6387
progressive rock,0.46954
texas country,0.55956
nu jazz,0.665142857143
video game music,0.345395348837
romantic,0.351533333333
roots reggae,0.79398
slow core,0.48558
swedish folk pop,0.5449
space rock,0.45438
madchester,0.51306
power metal,0.42314
progressive metal,0.4196
dancehall,0.732775510204
nu gaze,0.52912
alt-indie rock,0.45764
french pop,0.6344
world worship,0.41144
reggae,0.80526
deep trap,0.795734693878
opm,0.55676
alternative country,0.51986
deep danish pop,0.6536
mandopop,0.52698
spanish rock,0.602897959184
industrial metal,0.54926
deep southern trap,0.72468
forro,0.56102
sky room,0.6216
brazilian hip hop,0.72696
nashville sound,0.6139
indie garage rock,0.537714285714
taiwanese pop,0.52698
bolero,0.50858
thrash metal,0.41434
merseybeat,0.51082
danish pop,0.6381
lounge,0.49898
trance,0.53784
finnish dance pop,0.6630625
jam band,0.51034
deep latin hip hop,0.760428571429
chamber psych,0.511
jazz funk,0.6117
deep taiwanese pop,0.52638
turkish pop,0.6898
cool jazz,0.48664
post-punk,0.5577
salsa,0.65556
eurodance,0.70686
preverb,0.51848
brooklyn indie,0.57406122449
c-pop,0.52698
swedish alternative rock,0.54462
minimal,0.327592
german techno,0.637632653061
pixie,0.53206
chilean rock,0.63
deep cumbia sonidera,0.65042
candy pop,0.569693877551
filter house,0.68552
post-screamo,0.46498
punk blues,0.486
vocal house,0.712673469388
deep euro house,0.7675
deep new americana,0.55526
bow pop,0.437718
french hip hop,0.76036
alternative emo,0.48302
axe,0.640897959184
big beat,0.619959183673
cabaret,0.4334
finnish pop,0.606755102041
progressive trance,0.53334
chanson,0.56514
swedish indie rock,0.5476
industrial rock,0.55736
merengue,0.73706
etherpop,0.555571428571
garage psych,0.47732
jazz fusion,0.49808
power pop,0.56244
ninja,0.54542
cantopop,0.524448979592
uk post-punk,0.506183673469
melodic death metal,0.44276
deep swedish hip hop,0.6852
country dawn,0.569020408163
bubblegum dance,0.71772
show tunes,0.456183673469
post rock,0.339726
dutch hip hop,0.73093877551
vallenato,0.69664
shiver pop,0.57034
italian hip hop,0.6509
dutch pop,0.64087755102
post-disco,0.77798
bebop,0.4695
deep regional mexican,0.74158
spanish pop rock,0.594285714286
modern classical,0.286170454545
swedish eurodance,0.68484
contemporary post-bop,0.48258
minimal techno,0.71958
irish rock,0.4935
dutch house,0.642553191489
turkish rock,0.628
easy listening,0.486
swedish hip hop,0.60126
danspunk,0.563244897959
australian pop,0.60142
indonesian pop,0.55376
canadian indie,0.559204081633
wrestling,0.503040816327
microhouse,0.629795918367
hip house,0.78862
cumbia villera,0.720142857143
west coast trap,0.73912
texas blues,0.53976
celtic rock,0.50654
broadway,0.56566
pinoy alternative,0.57926
french indietronica,0.68016
blues,0.57858
acid jazz,0.660956521739
anthem emo,0.497755102041
chillstep,0.51694
movie tunes,0.4498
tech house,0.7393
uk funky,0.65712244898
norwegian indie,0.578265306122
progressive bluegrass,0.53982
classic swedish pop,0.523395833333
traditional blues,0.61324
soul jazz,0.49574
stoner rock,0.3884
melodic hardcore,0.4422
experimental rock,0.4708
turntablism,0.7354
norwegian pop,0.55518
minimal dub,0.66412244898
fourth world,0.22728125
electro,0.70178
swing,0.49236
latin christian,0.50588
dreamo,0.43554
indie jazz,0.58086
rock gaucho,0.55886
french rock,0.627040816327
post-hardcore,0.42702
epicore,0.340677083333
azontobeats,0.76124
zapstep,0.57808
deep chiptune,0.50496
sheffield indie,0.4746
uplifting trance,0.53468
noise rock,0.478787234043
progressive post-hardcore,0.41706
hard bop,0.48098
antiviral pop,0.585918367347
aussietronica,0.57396
indie punk,0.42414
death core,0.432083333333
electro latino,0.73404
ambient,0.20785625
reggae rock,0.73016
