genre,energy
modern rock,0.73686
tropical house,0.69322
pop rap,0.596183673469
pop,0.62882
post-teen pop,0.60412
rap,0.60098
rock,0.73242
dance pop,0.62944
trap music,0.57796
edm,0.72094
alternative rock,0.798918367347
latin,0.7713
pop rock,0.67174
dwn trap,0.587229166667
alternative metal,0.84278
neo mellow,0.57234
r&b,0.59218
southern hip hop,0.56746
hip hop,0.59426
classic rock,0.65862
mellow gold,0.64318
indie rock,0.72048
album rock,0.67646
viral pop,0.57279
reggaeton,0.74638
soft rock,0.6593
post-grunge,0.85202
indie r&b,0.47018
latin pop,0.8122
indie pop,0.71482
pop punk,0.8435
indietronica,0.6986
permanent wave,0.7505
electro house,0.7846
tropical,0.77108
urban contemporary,0.56978
indie folk,0.506036
folk-pop,0.51204
singer-songwriter,0.53606
nu metal,0.8638
hard rock,0.7504
hip pop,0.620191489362
contemporary country,0.70478
indie poptimism,0.64470212766
big room,0.753170212766
rap metal,0.85344
gangster rap,0.66048
canadian pop,0.57586
country road,0.72036
country,0.719336
folk rock,0.61326
garage rock,0.729346938776
house,0.76944
grupera,0.528673469388
latin hip hop,0.751744680851
stomp and holler,0.553146938776
underground hip hop,0.57286
chamber pop,0.439406
dirty south rap,0.651346938776
rock en espanol,0.67992
regional mexican,0.51112
progressive house,0.79248
roots rock,0.63898
blues-rock,0.71022
funk rock,0.72916
alternative dance,0.75998
modern country rock,0.7742
dance rock,0.72416
trap latino,0.672272727273
europop,0.7732
new wave,0.74712
neo soul,0.526368
synthpop,0.71948
new wave pop,0.73108
adult standards,0.42476
banda,0.5473
latin alternative,0.62876
neo-psychedelic,0.7294
soul,0.544
classic funk rock,0.66336
quiet storm,0.57884
emo,0.86566
psychedelic rock,0.58638
norteno,0.55092
spanish pop,0.73928
deep pop r&b,0.55702173913
progressive electro house,0.82698
deep indie r&b,0.45698
rap rock,0.86938
art rock,0.60852
new rave,0.75606
latin arena pop,0.65562
escape room,0.5927
motown,0.60324
regional mexican pop,0.55178
screamo,0.8791
shimmer pop,0.72884
electronic,0.66526
brostep,0.77706
metal,0.82832
new romantic,0.72504
teen pop,0.65212
disco,0.65216
deep big room,0.811551020408
indie anthem-folk,0.44246
pop reggaeton,0.77536
reggaeton flow,0.67994
crunk,0.65368
funk,0.59084
vapor soul,0.57544
trap francais,0.690239130435
acoustic pop,0.52294
metropopolis,0.59492
deep tropical house,0.72338
west coast rap,0.69164
deep german hip hop,0.694265306122
metalcore,0.92302
punk,0.8744
deep funk carioca,0.6467
electronic trap,0.7292
focus,0.0632182
new americana,0.47064
east coast hip hop,0.70166
folk,0.4829
francoton,0.705217391304
sertanejo universitario,0.8389
hardcore hip hop,0.710791666667
southern rock,0.6797
brill building pop,0.55692
german hip hop,0.670632653061
christian alternative rock,0.69908
jazz blues,0.30158
worship,0.60676
groove metal,0.92358
ranchera,0.56338
boy band,0.70118
piano rock,0.699428571429
talent show,0.66158
freak folk,0.54423
swedish pop,0.69354
chillwave,0.65935
british blues,0.64118
modern blues,0.55838
vocal jazz,0.234868
argentine rock,0.7278
g funk,0.78706122449
christian music,0.65738
redneck,0.74194
vegas indie,0.80906122449
new jack swing,0.583204081633
swedish idol pop,0.69012244898
bass trap,0.73674
compositional ambient,0.1082518
mpb,0.4253
country rock,0.62692
dance-punk,0.75716
memphis soul,0.52458
ccm,0.63142
deep underground hip hop,0.6356
soundtrack,0.1801114
cumbia pop,0.78166
noise pop,0.694591836735
rock-and-roll,0.5487
soul blues,0.51464
k-pop,0.781918367347
indie psych-rock,0.71842
protopunk,0.68238
moombahton,0.81924
lo-fi,0.601948
dream pop,0.605473469388
anthem worship,0.61214
german pop,0.61156
electric blues,0.60496
outlaw country,0.56728
melodic metalcore,0.93454
detroit hip hop,0.73176
hollywood,0.406018
deep dutch hip hop,0.718608695652
christian rock,0.69064
southern soul,0.50546
deep groove house,0.793
korean pop,0.74504
chicago soul,0.536510204082
indiecoustica,0.514326530612
deep german pop rock,0.65236
cantautor,0.64032
glam metal,0.8281
pagode,0.56126
britpop,0.79364
italian arena pop,0.65656
traditional country,0.53448
glam rock,0.68932
alternative hip hop,0.63398
funk metal,0.79846
mariachi,0.47734
deep australian indie,0.56262
classify,0.1113696
underground pop rap,0.67148
scorecore,0.324665416667
italian pop,0.630056
samba,0.43498
tracestep,0.75088
complextro,0.79288
deep pop edm,0.77274
downtempo,0.600040816327
trip hop,0.58638
grime,0.70338
british invasion,0.67768
speed metal,0.89348
channel pop,0.36545
classical,0.128149
catstep,0.75246
lilith,0.528436734694
bachata,0.6968
bossa nova,0.229318
deep house,0.7115
skate punk,0.90312
melancholia,0.297024
vapor twitch,0.6002
lift kit,0.746714285714
disco house,0.79768
symphonic rock,0.543162
comic,0.78692
pop emo,0.808276595745
anti-folk,0.525366
grunge,0.741377777778
duranguense,0.6186
australian dance,0.70592
traditional folk,0.45174
bubblegum pop,0.58178
otacore,0.66586
