genre,instrumentalness
modern rock,0.0179690972
tropical house,0.0065356368
pop rap,0.00265581428571
pop,0.005304745
post-teen pop,0.0049433432
rap,0.003102754
rock,0.0183878092
dance pop,0.0023085582
trap music,0.0068661584
edm,0.0089252408
alternative rock,0.0249883961224
latin,7.08726e-05
pop rock,0.0025181152
dwn trap,0.00868558166667
alternative metal,0.0029076834
neo mellow,0.0047968228
r&b,4.80142e-05
southern hip hop,0.0067002504
hip hop,0.002356909
classic rock,0.0283190944
mellow gold,0.0092828424
indie rock,0.0573551878
album rock,0.0130222656
viral pop,0.0026824258
reggaeton,7.07992e-05
soft rock,0.0065739696
post-grunge,0.00270173
indie r&b,0.0195776776
latin pop,4.8574e-06
indie pop,0.0311057588
pop punk,0.0025347832
indietronica,0.0930160344
permanent wave,0.0212767014583
electro house,0.0072334534
tropical,5.30174e-05
urban contemporary,0.0021499838
indie folk,0.0621568302
folk-pop,0.0212076068
singer-songwriter,0.0101269628
nu metal,0.0107397868
hard rock,0.0426710472
hip pop,0.00357623319149
contemporary country,0.001902595
indie poptimism,0.02199656
big room,0.0506359434043
rap metal,0.0042998626
gangster rap,3.82242e-05
canadian pop,0.000581712
country road,0.0019042382
country,0.0028667942
folk rock,0.0219947722
garage rock,0.0790322232653
house,0.0294886066
grupera,9.19208163265e-05
latin hip hop,5.62195744681e-05
stomp and holler,0.061090547551
underground hip hop,0.0068440854
chamber pop,0.1616083698
dirty south rap,0.000839946938776
rock en espanol,0.0065365514
regional mexican,2.96766e-05
progressive house,0.066190223
roots rock,0.0391210364
blues-rock,0.054398961
funk rock,0.0157439262
alternative dance,0.1178666026
modern country rock,0.0109468614
dance rock,0.0247108724
trap latino,0.000151617727273
europop,0.001784892
new wave,0.0348333648
neo soul,0.0012841528
synthpop,0.1523463308
new wave pop,0.0274167782
adult standards,0.0048187118
banda,3.41504e-05
latin alternative,0.0081321474
neo-psychedelic,0.103027935
soul,0.0013915264
classic funk rock,0.0208471908
quiet storm,0.0020613562
emo,3.72184e-05
psychedelic rock,0.0802390204
norteno,7.51832e-05
spanish pop,0.0017976546
deep pop r&b,0.0035034723913
progressive electro house,0.1217216512
deep indie r&b,0.0242768998
rap rock,0.0037311444
art rock,0.0634403426
new rave,0.1393305688
latin arena pop,1.26546e-05
escape room,0.0267122022
motown,0.0016437672
regional mexican pop,2.7523e-05
screamo,0.0081459362
shimmer pop,0.0349596996
electronic,0.2712443098
brostep,0.059269165
metal,0.0420352026
new romantic,0.0230181652
teen pop,5.965e-06
disco,0.0033239908
deep big room,0.0937010359184
indie anthem-folk,0.061210793
pop reggaeton,0.0001996082
reggaeton flow,0.0001052776
crunk,2.58422e-05
funk,0.03562648
vapor soul,0.0661392608
trap francais,0.00471144565217
acoustic pop,0.0116213976
metropopolis,0.028675335
deep tropical house,0.0459617048
west coast rap,9.69634e-05
deep german hip hop,0.0130551414286
metalcore,0.0067804882
punk,0.0005887476
deep funk carioca,0.0012082038
electronic trap,0.0852342492
focus,0.90182
new americana,0.0712044788
east coast hip hop,0.0016323962
folk,0.0080183422
francoton,0.00588133108696
sertanejo universitario,7.24202e-05
hardcore hip hop,0.0196218333333
southern rock,0.0257199482
brill building pop,0.0020693236
german hip hop,0.0417633871429
christian alternative rock,0.0002686596
jazz blues,0.113799545
