genre,key
modern rock,4.7
tropical house,5.7
pop rap,5.73469387755
pop,4.86
post-teen pop,5.46
rap,5.96
rock,5.26
dance pop,5.26
trap music,6.6
edm,5.58
alternative rock,5.36734693878
latin,5.38
pop rock,5.0
dwn trap,6.5625
alternative metal,5.68
neo mellow,5.02
r&b,5.54
southern hip hop,5.64
hip hop,4.42
classic rock,5.8
mellow gold,4.72
indie rock,4.54
album rock,5.42
viral pop,5.04
reggaeton,5.16
soft rock,5.08
post-grunge,5.66
indie r&b,5.26
latin pop,5.44
indie pop,4.4
pop punk,5.62
indietronica,5.58
permanent wave,5.22916666667
electro house,5.74
tropical,4.9
urban contemporary,4.86
indie folk,4.1
folk-pop,4.3
singer-songwriter,4.92
nu metal,5.9
hard rock,6.42
hip pop,4.91489361702
contemporary country,6.36
indie poptimism,4.68085106383
big room,5.10638297872
rap metal,6.06
gangster rap,5.18
canadian pop,4.74
country road,6.04
country,6.2
folk rock,4.98
garage rock,4.0
house,5.42
grupera,5.40816326531
latin hip hop,5.34042553191
stomp and holler,3.63265306122
underground hip hop,5.12
chamber pop,4.44
dirty south rap,4.75510204082
rock en espanol,5.96
regional mexican,5.88
progressive house,5.12
roots rock,4.64
blues-rock,5.26
funk rock,6.12
alternative dance,4.9
modern country rock,6.24
dance rock,4.12
trap latino,5.06818181818
europop,5.72
new wave,4.5
neo soul,5.48
synthpop,4.48
new wave pop,4.36
adult standards,4.8
banda,5.36
latin alternative,5.52
neo-psychedelic,4.5
soul,6.24
classic funk rock,6.08
quiet storm,6.18
emo,6.16
psychedelic rock,5.44
norteno,5.56
spanish pop,5.32
deep pop r&b,5.67391304348
progressive electro house,5.72
deep indie r&b,5.38
rap rock,5.22
art rock,4.52
new rave,5.04
latin arena pop,5.04
escape room,4.44
motown,5.42
regional mexican pop,5.86
screamo,5.32
shimmer pop,5.4
electronic,5.76
brostep,4.5
metal,5.34
new romantic,4.36
teen pop,4.68
disco,5.14
deep big room,5.67346938776
indie anthem-folk,5.44
pop reggaeton,4.66
reggaeton flow,5.26
crunk,5.44
funk,5.76
vapor soul,5.6
trap francais,4.97826086957
acoustic pop,5.34
metropopolis,4.84
deep tropical house,5.58
west coast rap,4.92
deep german hip hop,5.12244897959
metalcore,5.36
punk,4.64
deep funk carioca,5.46
electronic trap,4.92
focus,4.6
new americana,4.56
east coast hip hop,6.26
folk,5.6
francoton,4.84782608696
sertanejo universitario,5.28
hardcore hip hop,6.72916666667
southern rock,5.06
brill building pop,4.68
german hip hop,5.36734693878
christian alternative rock,5.22
jazz blues,4.5
worship,5.56
groove metal,4.76
ranchera,5.22
boy band,4.9
piano rock,4.83673469388
talent show,5.12
freak folk,5.14
swedish pop,5.06
chillwave,4.74
british blues,5.52
modern blues,5.58
vocal jazz,5.18
argentine rock,4.9
g funk,5.0612244898
christian music,5.12
redneck,5.08
vegas indie,5.71428571429
new jack swing,5.89795918367
swedish idol pop,4.63265306122
bass trap,4.68
compositional ambient,5.18
mpb,5.9
country rock,5.36
dance-punk,5.0
memphis soul,5.5
ccm,5.18
deep underground hip hop,5.66
soundtrack,5.32
cumbia pop,5.98
noise pop,5.28571428571
rock-and-roll,4.78
soul blues,5.36
k-pop,5.22448979592
indie psych-rock,4.78
protopunk,5.24
moombahton,6.14
lo-fi,4.9
dream pop,5.83673469388
anthem worship,5.32
german pop,6.22
electric blues,5.26
outlaw country,5.36
melodic metalcore,5.34
detroit hip hop,5.54
hollywood,5.1
deep dutch hip hop,5.58695652174
christian rock,5.0
southern soul,5.2
deep groove house,4.5
korean pop,5.04
chicago soul,5.81632653061
indiecoustica,5.40816326531
deep german pop rock,4.76
cantautor,4.78
glam metal,5.04
pagode,5.54
britpop,5.46
italian arena pop,5.26
traditional country,5.56
glam rock,4.6
alternative hip hop,5.02
funk metal,5.32
mariachi,4.0
deep australian indie,4.12
classify,6.04
underground pop rap,4.94
scorecore,4.875
italian pop,5.1
samba,6.26
tracestep,4.92
complextro,4.42
deep pop edm,6.32
downtempo,5.24489795918
trip hop,4.6
grime,6.04
british invasion,5.06
speed metal,5.96
channel pop,4.9
classical,3.43333333333
catstep,4.5
lilith,5.89795918367
bachata,5.24
bossa nova,5.26
deep house,4.7
skate punk,4.14
melancholia,5.04
vapor twitch,5.42
lift kit,4.55102040816
disco house,6.06
symphonic rock,5.0
comic,4.48
pop emo,4.29787234043
anti-folk,5.3
grunge,5.71111111111
