genre,liveness
modern rock,0.194182
tropical house,0.159704
pop rap,0.14773877551
pop,0.139236
post-teen pop,0.117082
rap,0.149626
rock,0.186612
dance pop,0.127394
trap music,0.161878
edm,0.176956
alternative rock,0.17546122449
latin,0.179124
pop rock,0.16882
dwn trap,0.1655875
alternative metal,0.209472
neo mellow,0.11995
r&b,0.15472
southern hip hop,0.164004
hip hop,0.198906
classic rock,0.201504
mellow gold,0.171092
indie rock,0.206058
album rock,0.192582
viral pop,0.127192
reggaeton,0.186796
soft rock,0.137726
post-grunge,0.227072
indie r&b,0.184622
latin pop,0.183754
indie pop,0.166042
pop punk,0.204812
indietronica,0.170712
permanent wave,0.181225
electro house,0.177448
tropical,0.197526
urban contemporary,0.134296
indie folk,0.145024
folk-pop,0.137828
singer-songwriter,0.166398
nu metal,0.228236
hard rock,0.189042
hip pop,0.228534042553
contemporary country,0.168944
indie poptimism,0.182759574468
big room,0.182953191489
rap metal,0.216046
gangster rap,0.175614
canadian pop,0.18613
country road,0.159976
country,0.134974
folk rock,0.184272
garage rock,0.205710204082
house,0.15053
grupera,0.165773469388
latin hip hop,0.169140425532
stomp and holler,0.179569387755
underground hip hop,0.16757
chamber pop,0.155262
dirty south rap,0.161120408163
rock en espanol,0.17773
regional mexican,0.151092
progressive house,0.191646
roots rock,0.141588
blues-rock,0.18551
funk rock,0.17607
alternative dance,0.22036
modern country rock,0.163374
dance rock,0.154148
trap latino,0.176536363636
europop,0.166694
new wave,0.164092
neo soul,0.19404
synthpop,0.190032
new wave pop,0.156104
adult standards,0.187212
banda,0.165954
latin alternative,0.229816
neo-psychedelic,0.203236
soul,0.177194
classic funk rock,0.165148
quiet storm,0.171746
emo,0.238818
psychedelic rock,0.159278
norteno,0.164274
spanish pop,0.201702
deep pop r&b,0.157819565217
progressive electro house,0.214744
deep indie r&b,0.16783
rap rock,0.183488
art rock,0.1762
new rave,0.20912
latin arena pop,0.17976
escape room,0.183036
motown,0.177534
regional mexican pop,0.140846
screamo,0.238374
shimmer pop,0.202338
electronic,0.19218
brostep,0.200406
metal,0.187496
new romantic,0.144812
teen pop,0.197316
disco,0.143896
deep big room,0.237585714286
indie anthem-folk,0.137782
pop reggaeton,0.166688
reggaeton flow,0.176962
crunk,0.187852
funk,0.156314
vapor soul,0.15642
trap francais,0.114634782609
acoustic pop,0.152988
metropopolis,0.140056
deep tropical house,0.146608
west coast rap,0.238474
deep german hip hop,0.175524489796
metalcore,0.248096
punk,0.210574
deep funk carioca,0.189188
electronic trap,0.152354
focus,0.112238
new americana,0.186606
east coast hip hop,0.224728
folk,0.141544
francoton,0.130956521739
sertanejo universitario,0.60774
hardcore hip hop,0.255035416667
southern rock,0.195108
brill building pop,0.18919
german hip hop,0.202806122449
christian alternative rock,0.16157
jazz blues,0.155276
worship,0.215578
groove metal,0.187554
ranchera,0.152918
boy band,0.142768
piano rock,0.197316326531
talent show,0.165082
freak folk,0.168534
swedish pop,0.173826
chillwave,0.190774
british blues,0.167692
modern blues,0.171242
vocal jazz,0.180438
argentine rock,0.23204
g funk,0.220844897959
christian music,0.201496
redneck,0.174774
vegas indie,0.196855102041
new jack swing,0.144155102041
swedish idol pop,0.136030612245
bass trap,0.187172
compositional ambient,0.122868
mpb,0.14969
country rock,0.183008
dance-punk,0.21346
memphis soul,0.190462
ccm,0.203848
deep underground hip hop,0.155156
soundtrack,0.163668
cumbia pop,0.204712
noise pop,0.154659183673
rock-and-roll,0.21806
soul blues,0.169428
k-pop,0.167185714286
indie psych-rock,0.15198
protopunk,0.421742
moombahton,0.24178
lo-fi,0.19491
dream pop,0.196367346939
anthem worship,0.192148
german pop,0.1465
electric blues,0.196972
outlaw country,0.196986
melodic metalcore,0.210792
detroit hip hop,0.236316
