genre,loudness
modern rock,-5.67002
tropical house,-5.5613
pop rap,-6.62146938776
pop,-5.50276
post-teen pop,-5.9557
rap,-6.5015
rock,-6.92166
dance pop,-5.5793
trap music,-6.67388
edm,-5.1222
alternative rock,-5.84704081633
latin,-4.67768
pop rock,-6.14624
dwn trap,-6.87816666667
alternative metal,-4.89292
neo mellow,-6.86652
r&b,-6.55084
southern hip hop,-7.04142
hip hop,-6.95302
classic rock,-8.7375
mellow gold,-9.38992
indie rock,-5.99916
album rock,-8.55174
viral pop,-6.48996
reggaeton,-4.8452
soft rock,-9.35876
post-grunge,-4.76664
indie r&b,-8.19808
latin pop,-4.34844
indie pop,-6.15502
pop punk,-4.68946
indietronica,-6.08492
permanent wave,-5.71760416667
electro house,-4.18896
tropical,-4.69558
urban contemporary,-7.15664
indie folk,-9.0212
folk-pop,-8.37548
singer-songwriter,-9.31974
nu metal,-4.62476
hard rock,-7.59744
hip pop,-7.05727659574
contemporary country,-5.70694
indie poptimism,-5.94006382979
big room,-4.7534893617
rap metal,-4.38066
gangster rap,-5.75716
canadian pop,-7.55868
country road,-5.6408
country,-5.75878
folk rock,-9.30768
garage rock,-5.77420408163
house,-4.76658
grupera,-5.55904081633
latin hip hop,-4.6140212766
stomp and holler,-8.52281632653
underground hip hop,-7.33488
chamber pop,-10.78558
dirty south rap,-6.17602040816
rock en espanol,-6.63816
regional mexican,-5.49722
progressive house,-4.83976
roots rock,-8.87412
blues-rock,-7.87952
funk rock,-6.69646
alternative dance,-5.94438
modern country rock,-5.18228
dance rock,-8.45118
trap latino,-5.66640909091
europop,-6.10758
new wave,-8.24628
neo soul,-7.77078
synthpop,-7.37348
new wave pop,-8.31
adult standards,-10.35544
banda,-5.04124
latin alternative,-7.64914
neo-psychedelic,-6.48656
soul,-9.50782
classic funk rock,-8.96068
quiet storm,-8.70168
emo,-4.254
psychedelic rock,-9.40424
norteno,-5.28938
spanish pop,-5.6199
deep pop r&b,-7.9312826087
progressive electro house,-4.25696
deep indie r&b,-8.9924
rap rock,-4.48402
art rock,-10.62198
new rave,-6.07266
latin arena pop,-5.92078
escape room,-6.94916
motown,-9.34128
regional mexican pop,-5.48596
screamo,-4.18972
shimmer pop,-5.73164
electronic,-8.59398
brostep,-4.23224
metal,-7.14984
new romantic,-8.73522
teen pop,-5.69506
disco,-8.6798
deep big room,-4.30104081633
indie anthem-folk,-9.7333
pop reggaeton,-4.71666
reggaeton flow,-5.75614
crunk,-5.8207
funk,-9.06092
vapor soul,-7.51296
trap francais,-6.26191304348
acoustic pop,-7.98544
metropopolis,-6.9828
deep tropical house,-5.7915
west coast rap,-6.66492
deep german hip hop,-6.19359183673
metalcore,-3.7648
punk,-4.48238
deep funk carioca,-4.91514
electronic trap,-4.87526
focus,-23.64386
new americana,-9.55774
east coast hip hop,-6.55694
folk,-11.26034
francoton,-5.84202173913
sertanejo universitario,-4.11564
hardcore hip hop,-6.853875
southern rock,-8.45374
brill building pop,-9.61628
german hip hop,-7.08230612245
christian alternative rock,-5.73156
jazz blues,-13.83486
worship,-6.48122
groove metal,-4.41938
ranchera,-6.45474
boy band,-5.79588
piano rock,-5.941
talent show,-5.45804
freak folk,-9.08796
swedish pop,-6.04558
chillwave,-6.8924
british blues,-10.30274
modern blues,-7.57892
vocal jazz,-14.64912
argentine rock,-7.16168
g funk,-4.21759183673
christian music,-5.96882
redneck,-5.65898
vegas indie,-5.18144897959
new jack swing,-7.23102040816
