genre,mode
modern rock,0.66
tropical house,0.48
pop rap,0.612244897959
pop,0.62
post-teen pop,0.64
rap,0.58
rock,0.76
dance pop,0.58
trap music,0.56
edm,0.4
alternative rock,0.69387755102
latin,0.56
pop rock,0.74
dwn trap,0.541666666667
alternative metal,0.5
neo mellow,0.86
r&b,0.46
southern hip hop,0.62
hip hop,0.66
classic rock,0.84
mellow gold,0.76
indie rock,0.64
album rock,0.84
viral pop,0.64
reggaeton,0.5
soft rock,0.74
post-grunge,0.52
indie r&b,0.6
latin pop,0.56
indie pop,0.7
pop punk,0.62
indietronica,0.44
permanent wave,0.666666666667
electro house,0.4
tropical,0.52
urban contemporary,0.44
indie folk,0.92
folk-pop,0.94
singer-songwriter,0.76
nu metal,0.52
hard rock,0.78
hip pop,0.404255319149
contemporary country,0.88
indie poptimism,0.68085106383
big room,0.617021276596
rap metal,0.6
gangster rap,0.56
canadian pop,0.36
country road,0.84
country,0.88
folk rock,0.8
garage rock,0.755102040816
house,0.42
grupera,0.857142857143
latin hip hop,0.489361702128
stomp and holler,0.938775510204
underground hip hop,0.74
chamber pop,0.82
dirty south rap,0.489795918367
rock en espanol,0.66
regional mexican,0.86
progressive house,0.44
roots rock,0.86
blues-rock,0.76
funk rock,0.54
alternative dance,0.62
modern country rock,0.84
dance rock,0.68
trap latino,0.613636363636
europop,0.54
new wave,0.7
neo soul,0.5
synthpop,0.64
new wave pop,0.78
adult standards,0.86
banda,0.86
latin alternative,0.48
neo-psychedelic,0.7
soul,0.72
classic funk rock,0.7
quiet storm,0.58
emo,0.66
psychedelic rock,0.66
norteno,0.86
spanish pop,0.74
deep pop r&b,0.413043478261
progressive electro house,0.58
deep indie r&b,0.36
rap rock,0.56
art rock,0.68
new rave,0.7
latin arena pop,0.84
escape room,0.52
motown,0.8
regional mexican pop,0.78
screamo,0.6
shimmer pop,0.66
electronic,0.52
brostep,0.66
metal,0.6
new romantic,0.7
teen pop,0.46
disco,0.68
deep big room,0.571428571429
indie anthem-folk,0.66
pop reggaeton,0.52
reggaeton flow,0.4
crunk,0.62
funk,0.64
vapor soul,0.6
trap francais,0.391304347826
acoustic pop,0.88
metropopolis,0.64
deep tropical house,0.64
west coast rap,0.62
deep german hip hop,0.571428571429
metalcore,0.46
punk,0.84
deep funk carioca,0.54
electronic trap,0.6
focus,0.62
new americana,0.96
east coast hip hop,0.42
folk,0.8
francoton,0.326086956522
sertanejo universitario,0.78
hardcore hip hop,0.416666666667
southern rock,0.88
brill building pop,0.82
german hip hop,0.591836734694
christian alternative rock,0.74
jazz blues,0.68
worship,0.86
groove metal,0.4
ranchera,0.96
boy band,0.64
piano rock,0.836734693878
talent show,0.74
freak folk,0.74
swedish pop,0.7
chillwave,0.6
british blues,0.68
modern blues,0.68
vocal jazz,0.56
argentine rock,0.56
g funk,0.571428571429
christian music,0.82
redneck,0.92
vegas indie,0.65306122449
new jack swing,0.469387755102
swedish idol pop,0.632653061224
bass trap,0.72
compositional ambient,0.68
mpb,0.56
country rock,0.86
dance-punk,0.64
memphis soul,0.8
ccm,0.86
deep underground hip hop,0.56
soundtrack,0.52
cumbia pop,0.6
noise pop,0.734693877551
rock-and-roll,0.88
soul blues,0.86
k-pop,0.571428571429
indie psych-rock,0.72
protopunk,0.72
moombahton,0.4
lo-fi,0.78
dream pop,0.734693877551
anthem worship,0.88
german pop,0.54
electric blues,0.72
outlaw country,0.84
melodic metalcore,0.44
detroit hip hop,0.56
hollywood,0.74
deep dutch hip hop,0.5
christian rock,0.82
southern soul,0.84
deep groove house,0.5
korean pop,0.52
chicago soul,0.795918367347
indiecoustica,0.897959183673
deep german pop rock,0.58
cantautor,0.82
glam metal,0.78
pagode,0.54
britpop,0.8
italian arena pop,0.72
traditional country,0.8
glam rock,0.84
alternative hip hop,0.66
funk metal,0.64
mariachi,0.88
deep australian indie,0.48
classify,0.6
underground pop rap,0.58
scorecore,0.479166666667
italian pop,0.72
samba,0.64
tracestep,0.44
complextro,0.5
deep pop edm,0.6
downtempo,0.530612244898
trip hop,0.5
grime,0.48
british invasion,0.72
speed metal,0.58
channel pop,0.82
classical,0.9
catstep,0.48
lilith,0.755102040816
bachata,0.44
bossa nova,0.58
deep house,0.46
skate punk,0.86
melancholia,0.8
vapor twitch,0.62
lift kit,0.938775510204
disco house,0.56
symphonic rock,0.78
comic,0.7
pop emo,0.595744680851
anti-folk,0.8
grunge,0.688888888889
duranguense,0.92
australian dance,0.5
traditional folk,0.9
bubblegum pop,0.74
otacore,0.56
chillhop,0.69387755102
hoerspiel,0.69387755102
australian alternative rock,0.6
reggae fusion,0.64
sertanejo,0.66
la indie,0.64
jazz,0.54
rockabilly,0.9
cumbia,0.68
nueva cancion,0.68
progressive rock,0.8
texas country,0.94
nu jazz,0.510204081633
video game music,0.511627906977
romantic,0.9
roots reggae,0.7
slow core,0.82
swedish folk pop,0.62
space rock,0.72
madchester,0.86
power metal,0.38
progressive metal,0.42
dancehall,0.632653061224
nu gaze,0.8
alt-indie rock,0.74
french pop,0.42
world worship,0.92
reggae,0.66
deep trap,0.612244897959
opm,0.96
alternative country,0.88
deep danish pop,0.26
mandopop,0.84
spanish rock,0.530612244898
industrial metal,0.64
deep southern trap,0.44
forro,0.68
sky room,0.36
brazilian hip hop,0.48
nashville sound,0.92
indie garage rock,0.714285714286
taiwanese pop,0.84
bolero,0.74
thrash metal,0.58
merseybeat,0.76
danish pop,0.38
lounge,0.78
trance,0.5
finnish dance pop,0.4375
jam band,0.8
deep latin hip hop,0.408163265306
chamber psych,0.84
jazz funk,0.64
deep taiwanese pop,0.84
turkish pop,0.3
cool jazz,0.5
post-punk,0.78
salsa,0.6
eurodance,0.36
preverb,0.88
brooklyn indie,0.775510204082
c-pop,0.84
swedish alternative rock,0.56
minimal,0.5
german techno,0.489795918367
pixie,0.6
chilean rock,0.54
deep cumbia sonidera,0.84
candy pop,0.714285714286
filter house,0.54
post-screamo,0.54
punk blues,0.64
vocal house,0.489795918367
deep euro house,0.46
deep new americana,0.88
bow pop,0.68
french hip hop,0.18
alternative emo,0.82
axe,0.673469387755
big beat,0.65306122449
cabaret,0.66
finnish pop,0.428571428571
progressive trance,0.4
chanson,0.46
swedish indie rock,0.58
industrial rock,0.64
merengue,0.58
etherpop,0.34693877551
