genre,valence
modern rock,0.52298
tropical house,0.471182
pop rap,0.462408163265
pop,0.528396
post-teen pop,0.493576
rap,0.42234
rock,0.53828
dance pop,0.506996
trap music,0.424244
edm,0.432622
alternative rock,0.526591836735
latin,0.64828
pop rock,0.519352
dwn trap,0.442127083333
alternative metal,0.4854
neo mellow,0.445852
r&b,0.469792
southern hip hop,0.390526
hip hop,0.385738
classic rock,0.53786
mellow gold,0.62528
indie rock,0.4983
album rock,0.57076
viral pop,0.479812
reggaeton,0.61432
soft rock,0.62464
post-grunge,0.50534
indie r&b,0.329672
latin pop,0.73404
indie pop,0.45104
pop punk,0.61102
indietronica,0.481556
permanent wave,0.4801875
electro house,0.463462
tropical,0.68566
urban contemporary,0.473756
indie folk,0.3308
folk-pop,0.3591
singer-songwriter,0.53242
nu metal,0.46138
hard rock,0.50652
hip pop,0.515646808511
contemporary country,0.5817
indie poptimism,0.425504255319
big room,0.439810638298
rap metal,0.488024
gangster rap,0.535786
canadian pop,0.431638
country road,0.57828
country,0.56354
folk rock,0.6838
garage rock,0.554081632653
house,0.58638
grupera,0.811102040816
latin hip hop,0.651617021277
stomp and holler,0.376857142857
underground hip hop,0.436464
chamber pop,0.316684
dirty south rap,0.479620408163
rock en espanol,0.6746
regional mexican,0.80464
progressive house,0.45848
roots rock,0.64684
blues-rock,0.61114
funk rock,0.57938
alternative dance,0.555798
modern country rock,0.54048
dance rock,0.74682
trap latino,0.542704545455
europop,0.64752
new wave,0.7134
neo soul,0.502376
synthpop,0.575004
new wave pop,0.69522
adult standards,0.522252
banda,0.7903
latin alternative,0.621222
neo-psychedelic,0.537646
soul,0.6932
classic funk rock,0.71044
quiet storm,0.73078
emo,0.56847
psychedelic rock,0.54822
norteno,0.80758
spanish pop,0.57784
deep pop r&b,0.365619565217
progressive electro house,0.41926
deep indie r&b,0.342494
rap rock,0.491504
art rock,0.59056
new rave,0.566818
latin arena pop,0.48024
escape room,0.5249
motown,0.76868
regional mexican pop,0.81298
screamo,0.40919
shimmer pop,0.450132
electronic,0.540024
brostep,0.358952
metal,0.468124
new romantic,0.71464
teen pop,0.481438
disco,0.79362
deep big room,0.416604081633
indie anthem-folk,0.302468
pop reggaeton,0.62528
